slug,corpus,cutoff,winner_family,zipf_avg_nll,zm_avg_nll,moe_avg_nll,hierk_avg_nll,hierk_minus_moe,hierk_minus_zm,step2_helps,step2_gain,canonical_source
canterbury_tales,Canterbury Tales,top200,zm,5.116165789671594,4.9832951046175635,5.007957600760369,4.998339010738534,-0.009618590021834628,0.015043906120970618,False,-0.023681132505372758,results/zipf_angle4_hierk/hierk_head_window_table.csv
canterbury_tales,Canterbury Tales,top500,zm,5.526428468021393,5.393496699456239,5.397481997390814,5.400806391938266,0.0033243945474517034,0.00730969248202662,False,-0.01980463198512923,results/zipf_angle4_hierk/hierk_head_window_table.csv
canterbury_tales,Canterbury Tales,top1000,moe,5.832820790474564,5.710026913159464,5.703064491589429,5.707838189226528,0.004773697637099339,-0.0021887239329352326,False,-0.01703689048531925,results/zipf_angle4_hierk/hierk_head_window_table.csv
canterbury_tales,Canterbury Tales,full,zm,6.850582452091423,6.803568686885705,6.812278605191087,6.8041130188221475,-0.00816558636893916,0.0005443319364424326,False,-0.0008681272805424467,results/zipf_angle4_hierk/hierk_head_window_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),top50,zm,4.278869424997023,4.237089044286273,4.2720248130887795,4.258089635591143,-0.013935177497636175,0.021000591304869864,False,-0.012919852334415949,results/zipf_angle4_hierk/hierk_head_window_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),top100,zm,4.623807848851472,4.558253291975097,4.580145016806261,4.581547420341611,0.0014024035353497055,0.02329412836651379,True,0.0036171528199428066,results/zipf_angle4_hierk/hierk_head_window_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),top200,zm,4.961560002891899,4.885939349298391,4.89313519718516,4.905121098489931,0.011985901304771396,0.019181749191540476,False,-0.009013170353710562,results/zipf_angle4_hierk/hierk_head_window_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),top500,moe,5.393403692943568,5.31792758891626,5.309031134802197,5.322720987795923,0.013689852993725715,0.004793398879662902,False,-0.009514585111138035,results/zipf_angle4_hierk/hierk_head_window_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),top1000,moe,5.708190976219401,5.639690189352204,5.623506106346747,5.632261964304635,0.008755857957887692,-0.007428225047569015,False,-0.005418925987138862,results/zipf_angle4_hierk/hierk_head_window_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),full,zm,6.706085717676725,6.685473211034842,6.68667142363636,6.686839081370042,0.00016765773368199177,0.0013658703352001922,True,0.0008894627898218266,results/zipf_angle4_hierk/hierk_head_window_table.csv
