config,kind,seed,gate,V,rmse,bic,k,w_gate,w_tail
PA2,pareto,1,tanh,10142,0.1392875908559922,-39901.094635441324,812.8269428245162,0.5576497797679425,3.132412222631368
PA2,pareto,1,algebraic,10142,0.13949423870982125,-39871.023480220734,780.0226110555196,0.5860850347482914,3.4187342711618376
PA2,pareto,1,erf,10142,0.13911264366259987,-39926.587640819074,824.6281320517115,0.6398314846514213,3.038468906645569
PA2,pareto,1,arctan,10142,0.13961110545115168,-39854.03688236958,746.8766791695439,0.40620844171796516,3.812236579653716
LN4,lognormal,1,erf,7473,0.127366104341457,-30718.79571711003,999.9999999855281,1.3919474139703207,2.3861788406054414
PA3,pareto,1,tanh,21186,0.13643140231191814,-84312.5495282424,999.9999999999999,1.597387255378476,9.999999999999995
PA3,pareto,1,erf,21186,0.13665467430890546,-84243.26380499084,999.9999999958031,1.717394574556608,9.999999999997822
PA3,pareto,1,algebraic,21186,0.13612204749088103,-84408.73607892002,999.9999999999794,1.721205916373946,9.999999999950088
PA3,pareto,1,logistic,21186,0.1364314023119359,-84312.54952823688,999.9999999976694,0.7986935572671088,9.999999999999943
PA3,pareto,1,arctan,21186,0.13605663663992154,-84429.10202814241,999.9999999998398,1.1913602047894867,9.999999999999977
LN2,lognormal,1,algebraic,9970,0.12336111064635547,-41644.362933550285,999.9999999999999,0.8815709448162166,3.4336258537602857
LN2,lognormal,1,erf,9970,0.1214879116716579,-41949.467817730874,999.9999999941631,1.3789433939845683,3.204818192378463
LN1,lognormal,2,logistic,14211,0.13208471585827858,-57448.933337450326,475.7630288538005,0.8369065107716311,9.999999999999998
LN2,lognormal,1,arctan,9970,0.12496188418212409,-41387.279480797944,999.9999999999999,0.4346499992041737,3.431155963498018
LN1,lognormal,2,tanh,14211,0.13208471583761608,-57448.93334189648,475.7847668911776,1.673690709251935,9.999999999999998
LN1,lognormal,2,erf,14211,0.13213550648169925,-57438.00630768812,494.63939908809317,1.7848093211351133,9.999999999999998
SL1,single_lognormal,1,algebraic,11642,0.13541685080070967,-46469.709419643135,999.9999998764428,0.4268813149578742,3.350605222514542
LN1,lognormal,2,algebraic,14211,0.1318271145287128,-57504.41813556175,485.22985426648097,1.6762823951083516,9.999999999999998
LN1,lognormal,2,arctan,14211,0.13202297939054602,-57462.22090119359,522.5833633786151,0.9672993384662453,9.999999999999998
LN2,lognormal,1,logistic,9970,0.1221817783683418,-41835.90638687651,999.9999999999999,0.525472327662418,3.392541336380103
LN2,lognormal,2,logistic,9987,0.11987733722562637,-42287.69017737176,999.9999999999999,0.40151016393820355,3.548719707955018
LN2,lognormal,2,erf,9987,0.12008335497734696,-42253.39289687844,999.999999998236,0.9178672387900458,3.548804457488255
LN2,lognormal,2,algebraic,9987,0.12030178150816981,-42217.09404087453,999.9999999998955,0.6955015841836689,3.4994126916539283
LN3,lognormal,2,logistic,19015,0.16170612161937714,-69201.01928778658,347.4853143309901,0.8759370777918334,9.999999999999998
LN2,lognormal,2,arctan,9987,0.12146785353142829,-42024.42052179746,999.9999999998039,0.34454602427629416,3.4332957730723845
LN3,lognormal,2,tanh,19015,0.16170612108650131,-69201.01941310815,347.5436911809643,1.7521331508201818,9.999999999999998
LN2,lognormal,2,tanh,9987,0.11987733722857094,-42287.690176881144,999.9999999999999,0.8030084646290875,3.5487160977700523
LN3,lognormal,2,algebraic,19015,0.16105233063854493,-69355.08933511798,373.4265976090265,1.6033609310835462,9.999999999999998
LN3,lognormal,2,erf,19015,0.1621267537599711,-69102.22357852143,358.61053702005995,2.0299693526582683,9.999999999999998
LN3,lognormal,2,arctan,19015,0.1608471156005209,-69403.5785701541,427.3875842094171,0.9122191392154841,9.999999999999998
LN4,lognormal,2,algebraic,7481,0.12198231459344568,-31397.959600949278,999.9999999877163,0.17404073617334712,2.3937319381879423
LN4,lognormal,2,arctan,7481,0.12235242579256697,-31352.631556415687,999.9999999999999,0.05000000000000001,2.3968294201750853
PA1,pareto,2,logistic,15084,0.13820539717542743,-59616.31134750234,999.9999999988861,0.5848220941737055,4.609900412823053
LN4,lognormal,2,logistic,7481,0.12193273966806333,-31404.041554734627,999.9999999999986,0.1041943991049365,2.3918471731737307
LN4,lognormal,2,tanh,7481,0.12193273965554424,-31404.041556270808,999.999999999858,0.20835690405336382,2.3918764185777106
PA1,pareto,2,algebraic,15084,0.13808313006176692,-59643.012090834534,999.9999999998421,1.2192896205068444,4.761565926638351
PA1,pareto,2,arctan,15084,0.1381888588442003,-59619.92161339021,999.9999999998416,0.8216583647503133,5.006457156016386
PA1,pareto,2,tanh,15084,0.13820539717556635,-59616.311347472016,999.9999999997474,1.1696410237403045,4.609880796584927
PA2,pareto,2,tanh,10145,0.1404370088361392,-39746.17080792683,922.0609029767214,0.6025275811733227,2.5577144374332237
PA1,pareto,2,erf,15084,0.13835946107312086,-59582.700424004564,999.9999999999999,1.2797905039099542,4.50514303931851
PA2,pareto,2,logistic,10145,0.14043700890095778,-39746.170798561994,922.0777887578878,0.30122978541937956,2.557523481015439
PA2,pareto,2,algebraic,10145,0.1406288975338532,-39718.4661152317,858.0912616710349,0.6361265597691002,2.8603551785066736
PA2,pareto,2,arctan,10145,0.14076699263524436,-39698.5514687848,798.7691304996794,0.4448559276994352,3.2770477939636518
PA2,pareto,2,erf,10145,0.1402731508329544,-39769.858438372066,941.1469648811035,0.6883261305790247,2.480654526882675
PA3,pareto,2,tanh,21171,0.13579248005526703,-84451.55559878297,999.9999999688459,1.7839002786733225,9.999999999969534
PA3,pareto,2,erf,21171,0.13612821923025348,-84346.99661957663,999.9999999997012,1.9434087882329063,9.999999999999465
PA3,pareto,2,logistic,21171,0.1357924800549971,-84451.55559886713,999.9999999993669,0.8919484030147177,9.999999999986814
PA3,pareto,2,algebraic,21171,0.1355179405639732,-84537.24751641345,999.9999999973331,1.8998631188697142,9.99999999999887
LN4,lognormal,2,erf,7481,0.12192151082992415,-31405.419475160565,999.9999999999999,0.26496043640955963,2.3900534334348307
PA3,pareto,2,arctan,21171,0.13551600750306353,-84537.85149732155,999.9999999999999,1.3170987603087372,9.999999999999998
SL1,single_lognormal,1,arctan,11642,0.13637740923558878,-46305.130993946856,999.9999999999982,0.12176231428785637,3.291596336252478
SL1,single_lognormal,2,algebraic,11674,0.12893066101170864,-47743.637355221406,999.9999999999905,0.35929581208678096,3.4212524467117884
SL1,single_lognormal,2,arctan,11674,0.12993442890233542,-47562.569369755634,999.9999999999999,0.15007017536680997,3.3571917000688147
SL1,single_lognormal,1,erf,11642,0.13182834552881986,-47095.051092512025,999.919583273074,2.527418626368682,3.677004125319471
SL1,single_lognormal,1,logistic,11642,0.13378133723430313,-46752.636780462555,999.9631242261768,0.9802174335298517,3.515981950265617
SL1,single_lognormal,2,logistic,11674,0.12979754251246872,-47587.17953776158,999.999751928056,1.0712452372868635,3.8512373450169357
SL1,single_lognormal,2,erf,11674,0.12793393849505388,-47924.83471884852,999.9523672400298,2.710393623336717,4.032832791398711
SL1,single_lognormal,1,tanh,11642,0.13377768657514294,-46753.27216884662,999.9844166764565,1.960566094454762,3.518430828874239
SL1,single_lognormal,2,tanh,11674,0.1297969437239676,-47587.28724816889,999.999456499624,2.1429408933362972,3.851677380472675
