corpus,V,s,s_over_V,rmse,bic,k,w_gate
Federalist Papers,8617,108.99738639068373,0.012649110640673521,0.11356549416664175,-37408.86909756189,226.28212355252242,3.0077730276874313
Federalist Papers,8617,109.65816690003957,0.012725794000236691,0.11352763513538817,-37414.61530884247,208.79489320836097,3.084551608411069
Federalist Papers,8617,157.6239052983109,0.018292202077093058,0.14644039429209738,-33027.31815000074,999.937811590541,1.2600047216098096
Federalist Papers,8617,227.9439566783453,0.026452820781982744,0.14549384209835936,-33139.07576961885,999.9999817800887,1.2923148778754097
King James Bible,12555,1004.4,0.08,0.14102920430179253,-49100.2330267426,999.9789051068528,1.703127815237575
Federalist Papers,8617,329.63557962762997,0.03825409999160148,0.14434968271772203,-33275.13915210984,999.9945826762529,1.3006085719563278
Grimm's Fairy Tales,4746,9.492,0.002,0.14871147787514957,-18013.167288596513,999.9999999999999,9.999999999999998
Complete Works of Shakespeare,24458,1353.0222189574997,0.05532023137449913,0.15226100748837032,-91976.75095917603,999.7671138785214,2.2940491981909137
Grimm's Fairy Tales,4746,13.726623716726557,0.002892251099183851,0.14784242494003477,-18068.800170145743,999.9999999999999,9.999999999999998
Grimm's Fairy Tales,4746,19.85042126639273,0.004182558210365093,0.1456862461804602,-18208.253783586108,999.9999999999999,9.999999999999998
Grimm's Fairy Tales,4746,28.706201363493435,0.00604850429066444,0.13995928301918545,-18588.91872857704,999.9999999999999,7.41403447170175
Grimm's Fairy Tales,4746,41.512771223478374,0.008746896591546222,0.11599466690531489,-20371.585901480878,999.9999999999999,1.4808576406183653
Grimm's Fairy Tales,4746,57.99137213471197,0.012218999606976817,0.1079812526536412,-21051.085809767865,94.19156818958027,3.7773395082465973
Grimm's Fairy Tales,4746,86.81479105788365,0.018292202077093058,0.14042326280541576,-18557.503790546536,999.999999993594,1.2623565762040059
Federalist Papers,8617,476.694433754059,0.05532023137449913,0.14310773423639475,-33424.057719125914,999.890515157316,1.2938851410764132
Grimm's Fairy Tales,4746,60.03267910063653,0.012649110640673521,0.10922453712056927,-20942.420335788356,44.0899215243026,4.0968946954495395
Federalist Papers,8617,689.36,0.08,0.1417024290882961,-33594.130480499276,999.8886168261987,1.2583143802369758
