slug,corpus,mode,step,rank,expression,math,rmse,uses_new_operator,canonical_source
shakespeare,Complete Works of Shakespeare,zm_residual,5,2,"div[mul[mul[sub[cosh[x],tan[x]],cos[add[x,x]]],mul[sub[sqrt[x],mul[x,x]],sub[besselj[x],1]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]]","((((cosh(x)-tan(x))*cos((x+x)))*((sqrt(x)-(x*x))*(J0(x)-1)))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))",0.17290887791622808,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,3,"div[mul[mul[sub[cosh[x],tan[x]],cos[add[x,x]]],mul[sub[pow[x,x],sqrt[x]],sub[cos[x],tanh[x]]]],sub[mul[sub[pow[x,x],sinh[x]],sub[pow[x,x],sin[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]]","((((cosh(x)-tan(x))*cos((x+x)))*((pow(x,x)-sqrt(x))*(cos(x)-tanh(x))))/(((pow(x,x)-sinh(x))*(pow(x,x)-sin(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))",0.1732706123767294,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,4,"erf[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]]]",erf(((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x))))),0.17374214835695914,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,5,"tanh[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]]]",tanh(((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x))))),0.17433799457432136,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,6,"sub[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]],mul[mul[sub[gamma[x],mul[x,x]],sub[pow[x,x],sqrt[x]]],mul[sub[sqrt[x],mul[x,x]],sub[pow[x,x],tanh[x]]]]]","(((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x))))-(((gamma(x)-(x*x))*(pow(x,x)-sqrt(x)))*((sqrt(x)-(x*x))*(pow(x,x)-tanh(x)))))",0.17453505224936242,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,7,"sub[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]],mul[mul[sub[pow[x,x],sinh[x]],sub[pow[x,x],sin[x]]],mul[cos[add[x,x]],mul[log[x],log[x]]]]]","(((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x))))-(((pow(x,x)-sinh(x))*(pow(x,x)-sin(x)))*(cos((x+x))*(log(x)*log(x)))))",0.17454626847839036,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,8,"add[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]],sub[mul[sub[sin[x],erf[x]],sub[1,pow[x,x]]],mul[add[sin[x],neg[x]],add[sin[x],neg[x]]]]]","(((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x))))+(((sin(x)-erf(x))*(1-pow(x,x)))-((sin(x)+(-x))*(sin(x)+(-x)))))",0.17497871231636772,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,9,"sin[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]]]",sin(((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x))))),0.17515062339248127,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,10,"add[div[mul[sub[pow[x,x],sqrt[x]],sub[cos[x],tanh[x]]],mul[div[div[x,1],eml[x,1]],div[div[1,x],add[1,x]]]],sub[mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]],mul[cos[add[x,x]],sub[erf[x],mul[x,x]]]]]","((((pow(x,x)-sqrt(x))*(cos(x)-tanh(x)))/(((x/1)/EML(x,1))*((1/x)/(1+x))))+(((log(x)*log(x))*(J0(x)-sqrt(x)))-(cos((x+x))*(erf(x)-(x*x)))))",0.17525919040000254,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,1,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[add[mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]],mul[sub[pow[x,x],sqrt[x]],eml[neg[x],cosh[x]]]],sub[mul[sub[sin[x],erf[x]],sub[1,pow[x,x]]],mul[add[sin[x],neg[x]],add[sin[x],neg[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+(((((-x)+pow(x,x))*(J0(x)+(-x)))+((pow(x,x)-sqrt(x))*EML((-x),cosh(x))))+(((sin(x)-erf(x))*(1-pow(x,x)))-((sin(x)+(-x))*(sin(x)+(-x))))))",0.16003311758541847,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,2,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],erf[sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[besselj[x],erf[x]],sub[1,erf[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+erf(((cos((x+x))*(log(x)*log(x)))-((J0(x)-erf(x))*(1-erf(x))))))",0.16041411011681372,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,3,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[add[mul[sub[pow[x,x],sinh[x]],sub[pow[x,x],sin[x]]],mul[sub[sin[x],mul[x,x]],sub[sin[x],sqrt[x]]]],mul[mul[add[sin[x],neg[x]],add[sin[x],neg[x]]],mul[sub[besselj[x],sin[x]],add[neg[x],sinh[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+((((pow(x,x)-sinh(x))*(pow(x,x)-sin(x)))+((sin(x)-(x*x))*(sin(x)-sqrt(x))))+(((sin(x)+(-x))*(sin(x)+(-x)))*((J0(x)-sin(x))*((-x)+sinh(x))))))",0.1611836961982636,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,4,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[add[mul[sub[pow[x,x],sinh[x]],sub[pow[x,x],sin[x]]],mul[sub[sin[x],mul[x,x]],sub[sin[x],sqrt[x]]]],mul[mul[sub[gamma[x],mul[x,x]],sub[pow[x,x],sqrt[x]]],mul[sub[sqrt[x],mul[x,x]],sub[pow[x,x],tanh[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+((((pow(x,x)-sinh(x))*(pow(x,x)-sin(x)))+((sin(x)-(x*x))*(sin(x)-sqrt(x))))+(((gamma(x)-(x*x))*(pow(x,x)-sqrt(x)))*((sqrt(x)-(x*x))*(pow(x,x)-tanh(x))))))",0.16202763930375488,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,5,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],erf[add[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[sub[tanh[x],sin[x]],sub[pow[x,x],mul[x,x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+erf((((log(x)*log(x))*(pow(x,x)-erf(x)))+((tanh(x)-sin(x))*(pow(x,x)-(x*x))))))",0.16247038125115737,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,6,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[mul[mul[sub[1,sqrt[x]],sub[pow[x,x],mul[x,x]]],mul[sub[1,sqrt[x]],sub[pow[x,x],mul[x,x]]]],sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[div[cos[x],eml[x,x]],sub[gamma[x],1]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+((((1-sqrt(x))*(pow(x,x)-(x*x)))*((1-sqrt(x))*(pow(x,x)-(x*x))))+(((log(x)*log(x))*(pow(x,x)-erf(x)))-((cos(x)/EML(x,x))*(gamma(x)-1)))))",0.16284806045224792,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,7,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],sub[div[mul[sub[sin[x],erf[x]],sub[besselj[x],mul[x,x]]],mul[div[div[x,1],eml[x,1]],div[div[1,x],add[1,x]]]],mul[mul[sub[1,sinh[x]],sub[mul[x,x],sinh[x]]],mul[cos[add[x,x]],sub[erf[x],mul[x,x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+((((sin(x)-erf(x))*(J0(x)-(x*x)))/(((x/1)/EML(x,1))*((1/x)/(1+x))))-(((1-sinh(x))*((x*x)-sinh(x)))*(cos((x+x))*(erf(x)-(x*x))))))",0.16319811422135935,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,8,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[mul[mul[sub[cos[x],besselj[x]],sub[cos[x],besselj[x]]],mul[sub[cos[x],besselj[x]],sub[cos[x],besselj[x]]]],sub[mul[sub[pow[x,x],sqrt[x]],sub[cos[x],tanh[x]]],mul[sub[tanh[x],sin[x]],add[erf[x],neg[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+((((cos(x)-J0(x))*(cos(x)-J0(x)))*((cos(x)-J0(x))*(cos(x)-J0(x))))+(((pow(x,x)-sqrt(x))*(cos(x)-tanh(x)))-((tanh(x)-sin(x))*(erf(x)+(-x))))))",0.16323742171792555,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,9,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],tanh[neg[mul[sub[tanh[x],erf[x]],sub[tanh[x],erf[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+tanh((-((tanh(x)-erf(x))*(tanh(x)-erf(x))))))",0.16337728974554216,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,6,10,"add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[neg[mul[sub[tanh[x],erf[x]],sub[tanh[x],erf[x]]]],mul[mul[add[sin[x],neg[x]],add[sin[x],neg[x]]],mul[sub[besselj[x],sin[x]],add[neg[x],sinh[x]]]]]]","(((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+((-((tanh(x)-erf(x))*(tanh(x)-erf(x))))+(((sin(x)+(-x))*(sin(x)+(-x)))*((J0(x)-sin(x))*((-x)+sinh(x))))))",0.16338047396335603,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,7,1,"add[add[div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]],add[add[mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]],mul[sub[pow[x,x],sqrt[x]],eml[neg[x],cosh[x]]]],sub[mul[sub[sin[x],erf[x]],sub[1,pow[x,x]]],mul[add[sin[x],neg[x]],add[sin[x],neg[x]]]]]],erf[sub[div[mul[sub[sin[x],erf[x]],sub[besselj[x],mul[x,x]]],mul[div[div[x,1],eml[x,1]],div[div[1,x],add[1,x]]]],mul[mul[sub[1,sinh[x]],sub[mul[x,x],sinh[x]]],mul[cos[add[x,x]],sub[erf[x],mul[x,x]]]]]]]","((((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))+(((((-x)+pow(x,x))*(J0(x)+(-x)))+((pow(x,x)-sqrt(x))*EML((-x),cosh(x))))+(((sin(x)-erf(x))*(1-pow(x,x)))-((sin(x)+(-x))*(sin(x)+(-x))))))+erf(((((sin(x)-erf(x))*(J0(x)-(x*x)))/(((x/1)/EML(x,1))*((1/x)/(1+x))))-(((1-sinh(x))*((x*x)-sinh(x)))*(cos((x+x))*(erf(x)-(x*x)))))))",0.15786863139738436,True,results/zipf_widened_grammar_diagnostic/summary.json
