slug,corpus,original_rmse,relaxed_rmse,rmse_delta_vs_original,original_transition_fraction,relaxed_transition_fraction,transition_fraction_delta,original_k,relaxed_k,original_w,relaxed_w,best_start_index,best_nfev,tried_count,relaxed_a1,relaxed_b1,relaxed_c1,relaxed_a2,relaxed_b2,relaxed_c2
aesops_fables,Aesop's Fables,0.10923629981578861,0.10545762359732193,-0.003778676218466684,0.6586379759737735,0.7111730509895264,0.05253507501575294,250.79909890687756,389.6762147541362,0.17154462251525357,0.10000000000000002,19,61,100,8.853396552019616,1.0537873121100862,1.3111119654813799,34.431047890374614,4.010469581095126,3014.7588366421955
complete_sherlock_holmes,Complete Sherlock Holmes,0.10933978842066736,0.10393283430125197,-0.005406954119415386,0.4799837202376792,0.4086562930219581,-0.0713274272157211,73.8917370296407,38.98659806835867,1.1792200966776498,2.161202684446066,93,103,100,33.753665898469514,4.999999999582444,129.47673433391043,40.781056459407836,4.321078546767685,4999.999999964831
jane_eyre,Jane Eyre,0.1163386668513631,0.10886544910929442,-0.007473217742068675,0.49805330721568547,0.45849794832511803,-0.03955535889056744,109.94814088472613,75.69669018383536,1.3680313276609635,1.9099629821130935,81,130,100,35.138787598902574,4.798948102319479,220.66977760853126,31.431801753126432,3.2260178686927214,4999.999999983138
dubliners,Dubliners,0.11031954869396245,0.10919989080104181,-0.0011196578929206363,0.7096807426139757,0.7251027562382205,0.01542201362424478,544.0369170321965,623.8441187240829,0.11951239516082011,0.10000000000000002,49,21,100,9.19281947933663,1.0175373605779807,1.2965282892917076,16.98708772982052,1.9788500746234254,1606.0298840330227
the_iliad,The Iliad,0.10892884624421013,0.10221072502319478,-0.006718121221015352,0.4513937863547012,0.7539458288789542,0.30255204252425305,70.17101428697478,1212.1794000674483,2.090855885094736,0.10000000000001137,35,38,100,9.518530871319875,0.8919533268315569,1.0498429845378298e-33,30.44218384070949,3.2333820622771414,4999.999999940619
democracy_in_america,Democracy in America,0.11510033697902673,0.10421349710246926,-0.010886839876557475,0.4779624131952507,0.7536837023323704,0.2757212891371197,78.85114528096787,979.5263316183983,1.5051645692587328,0.10000000000000002,17,37,100,9.872120963750373,0.9832361073807339,6.078110078220661e-30,35.04559133208139,3.7706678367792237,4999.999999939149
origin_of_species,Origin of Species,0.11061655800432171,0.10462522554073679,-0.0059913324635849224,0.4484959616287978,0.7512017122512101,0.30270575062241234,52.643043892301954,764.0728534341625,1.7312447636621957,0.10000000000000002,27,31,100,9.82214259924647,0.9738996665531646,0.7845949412858036,32.87866183094345,3.657157493222013,3441.0937734331537
wealth_of_nations,Wealth of Nations,0.11150530937515793,0.10184047783096302,-0.00966483154419491,0.46984631997148063,0.4436977893059253,-0.026148530665555336,73.86619175502778,58.13804321989582,1.7115150930203922,2.081770829007726,69,95,100,32.01274850824677,3.8896276163633994,264.39895084581093,41.70489928489465,4.398333999219902,4999.999996245254
les_miserables,Les Miserables,0.11623798486757476,0.10412969475744409,-0.012108290110130676,0.5343972664323318,0.4628274920885587,-0.07156977434377304,212.6243692971713,103.72531439232438,1.336442570576215,2.6216297668061994,90,67,100,24.59614095702591,3.3445680468724186,67.32734234575811,32.70186278663067,3.1659206557182182,4999.999998499991
decline_and_fall_vol1,Decline and Fall Vol 1,0.11329121717299707,0.09875073140348585,-0.014540485769511224,0.5009120001698419,0.40949106648002476,-0.09142093368981719,127.54483808636499,52.64541095293037,1.4577977506645468,3.347836424295061,31,100,100,18.808892111379784,3.025676715178028,15.732896554883052,40.4373906489271,3.992040976441413,4999.999999999358
emile,Emile,0.11100051974248441,0.1019689782942167,-0.009031541448267719,0.5150827248281323,0.4477575747839963,-0.06732515004413603,121.6640728464838,64.9555246529264,1.1145629056416988,2.009619180372475,71,102,100,34.495000074546304,4.808096862812089,170.05015720551876,38.696008874440736,4.005507681689846,4999.999998051863
ulysses,Ulysses,0.11000499468428752,0.1055354376917851,-0.004469556992502427,0.5077346007062976,0.7397683491241287,0.2320337484178311,184.34773919684636,1999.9999999598194,1.5405619063083855,0.12009526573590351,62,39,100,10.335133058707758,1.0187990761417263,0.8188616164705014,17.63496140813703,1.7860566130315099,4999.999999999767
collected_poe,Collected Poe,0.11121130676417938,0.10522703491987921,-0.005984271844300171,0.463001687655287,0.40744413374477434,-0.05555755391051265,68.81349123711598,41.41553478296186,1.4761171457973563,2.3386044312882044,57,97,100,24.463699068918597,3.6215918623265044,67.47062667618573,36.776015280434585,3.86759661587247,4999.999994618081
principia_ethica,Principia Ethica,0.10212293042423279,0.10073469822014126,-0.0013882322040915246,0.4243006155602499,0.4007010608749169,-0.02359955468533298,33.081259098023985,27.23096558920414,1.400197260885078,1.6644989918549122,85,72,100,38.846836148650446,4.999999999987766,369.05851474573063,39.38554271567459,4.612939295109555,2253.7127832642186
critique_of_pure_reason,Critique of Pure Reason,0.10340710309207045,0.10229464950189011,-0.0011124535901803345,0.6880814790311053,0.7396704832609596,0.05158900422985435,421.9794201244541,663.9308483076397,0.1692810476403111,0.10000000000000088,23,26,100,10.7066890430645,1.0845051526882021,2.062438635287765,23.65883670388191,2.7384781458515466,1666.0390394301287
