corpus,nll,pi_h,sd_h,mu_t,sd_t,n_total,pred_err
Moby Dick,39146.521400429854,0.3,2.6229027919509664,-11.999999402063295,0.34669209793578754,239910.43798261744,0.9485357819685318
Pride and Prejudice,18041.094579154604,0.011040953047668695,0.7574457964021836,-3.0027082002457472,3.058105909771628,28385.32011923491,1.1332980084005013
Pride and Prejudice,18041.33404157248,0.006071289507949625,0.6158072704832818,-2.709566787705386,2.9420095846843526,26467.479869417526,1.1489804190675046
Pride and Prejudice,18040.78736720619,0.050285949143960576,1.5881027010219917,-3.3470954528217263,3.18029395541653,29371.48593743896,0.5249552417811291
Pride and Prejudice,18041.085620071008,0.00907636781132199,0.6065925388943981,-2.991694421741668,3.055101886276499,28407.83890516812,1.1091147055306487
Pride and Prejudice,18041.153205380106,0.15452599122374094,2.755174010895433,-2.180218611096021,2.454935171496188,21302.06965587729,0.6693563855313717
Pride and Prejudice,18042.376761127085,0.0025778790920136835,0.3098881597094458,-2.4906495178010357,2.859582801758769,25017.76114287215,0.43943919525457426
Pride and Prejudice,18039.977234102575,0.07481765703580268,1.757989213474104,-4.134443022595854,3.4079344713119166,34303.99464505595,0.6042202189048134
Pride and Prejudice,18041.028384579422,0.005792632762492464,0.455221924909349,-2.7653828346109286,2.9712897637322078,26851.147640360312,1.0145887039548702
War and Peace,52534.9023215668,0.11440868785574372,1.6537988740972462,-0.9579643893821127,1.9061523670005338,36104.83468904093,2.1870389603770666
Pride and Prejudice,18050.569881167758,0.001000055108464332,2.50832082287563,-11.16915438392015,1.272504192559468,15650161.848073855,0.9971119223526075
War and Peace,52492.33292368458,0.18566138101797688,3.1196984879582716,-0.9952066011932572,2.35445284878507,39220.48769068842,0.30337020722941066
Pride and Prejudice,18041.081057236188,0.2005976735168414,2.113490745273603,-3.048630233918564,3.1747712073893544,25314.464941476785,1.235469526169874
Pride and Prejudice,18041.582862209965,0.03493133782764236,2.1320977148963727,-1.9290822048061336,2.433104108104969,20667.67725286654,0.4281657060141307
Federalist Papers,24515.01795927431,0.16672042247647198,1.7407038121791174,-3.3685394291500987,3.3027488632550024,29797.236775320598,0.4081928043449259
Pride and Prejudice,18039.839159094496,0.001,4.700832654940625,-2.6063628822004965,2.9167429433260272,25988.153223803365,0.5667046476978377
Pride and Prejudice,18039.17204832251,0.08069128304295438,1.8905301783764155,-5.371583923690769,3.6923637889863614,45191.58189791897,1.0601812116108835
Federalist Papers,24521.677874226345,0.2999999999999999,2.457797037188022,-5.934686904355797,0.7881219270760541,65188.194436159545,1.515395561566363
Federalist Papers,24514.315539685616,0.025270661271568618,0.8499021444566808,-2.0197760450619864,2.783299740722061,26029.122886914636,0.7517315118483305
Federalist Papers,24514.589654892745,0.06587427904863999,1.3599884921440943,-3.509431598118341,3.1738433357598743,36121.57655732233,0.737530525203757
Federalist Papers,24516.461920390273,0.17805327864132758,1.8105821589467397,-4.3688469560609215,3.587752235894708,35045.52162202328,0.11798102285162748
Federalist Papers,24517.315046960084,0.10751254193378813,1.5406803306294814,-3.0341393082514063,3.180298668271569,29721.841277099767,0.46792975080256377
Federalist Papers,24522.119739035425,0.001000000000592949,3.8804713120390626,-1.0442752696762025,2.4573446464396063,20219.492679158167,1.7915471278941375
Federalist Papers,24522.43671100771,0.0011454505455378214,1.3536624711822334,-1.249640488615345,2.5469960302832515,21515.569625468208,1.9750276603538135
Federalist Papers,24511.877423702164,0.07239029429107213,1.6578811149212573,-6.7512411434003585,4.010890722226054,71435.00278731617,0.7382974954967046
Federalist Papers,24521.13323557454,0.1050576451129188,2.4634848917952317,-7.999755020168475,1.532236461402658,185439.25906951271,1.1188958234427928
Federalist Papers,24523.518879098934,0.006070703762315914,2.451176157314331,-0.7225204351645379,2.255331385857748,18240.195713541,0.8850822406477334
Federalist Papers,24513.271397827837,0.015504376407529927,0.6493378712550109,-1.674343428322456,2.6791957669992534,23904.145042907036,1.286534918957468
Federalist Papers,24515.527793816247,0.02507863532653039,0.882467330856142,-1.9675634689340988,2.79449852614703,25557.73351598017,0.8055041702315083
Federalist Papers,24514.070808130436,0.014250705651045737,0.6243815236610067,-1.6470703180766642,2.684016307918312,23721.872121655753,1.321243119837864
Federalist Papers,24517.862837369077,0.0010000000450080873,2.00383967385427,-1.2135878085438794,2.5087475282421483,21297.63305365052,1.1865880683747008
Federalist Papers,24519.780957611663,0.0010001644877400974,1.643735842924004,-0.9799778609282583,2.4020452739367615,19835.98968031572,0.27209762939407334
