slug,corpus,token_count,vocabulary_size,cutoff,cutoff_rank,zipf_avg_nll,zm_avg_nll,moe_avg_nll,softk_avg_nll,winner_family,softk_minus_moe,softk_minus_zm,softk_minus_zipf,step2_winner_expression,step2_gain,step2_helps,canonical_source
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,top500,500,5.43519422913028,5.332953496890163,5.306984750543116,5.294670314267547,softk,-0.012314436275568497,-0.03828318262261554,-0.14052391486273308,"sub[pow[x,x],sqrt[x]]",-0.0042090397702838345,False,results/zipf_angle1_head_windows_splitfit/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,top1000,1000,5.709966825674634,5.626605717552336,5.599285156397153,5.591598388897545,softk,-0.0076867674996083935,-0.035007328654791614,-0.11836843677708941,"sub[sqrt[x],pow[x,x]]",-0.0025107049177664487,False,results/zipf_angle1_head_windows_splitfit/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,full,4746,6.128784795037904,6.088523680073925,6.077646160664019,6.077603811556091,softk,-4.2349107927996954e-05,-0.010919868517833997,-0.05118098348181377,"eml[sub[x,1],eml[x,1]]",-0.0004983982554198074,False,results/zipf_angle1_head_windows_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,top50,50,4.38335904383722,4.295361115266339,4.337605761670451,4.303016836120531,zm,-0.03458892554991966,0.007655720854192083,-0.08034220771668821,"div[sub[x,1],eml[1,x]]",-0.009899332058060567,False,results/zipf_angle1_head_windows_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,top100,100,4.743061839623665,4.61212836831963,4.64031125966066,4.622130935768978,zm,-0.01818032389168156,0.010002567449348021,-0.12093090385468663,"eml[sub[x,1],eml[x,1]]",-0.023129946934353093,False,results/zipf_angle1_head_windows_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,top200,200,5.067623869253,4.920237830875505,4.931336929165749,4.93243447125883,zm,0.0010975420930812163,0.012196640383325352,-0.13518939799416962,"sub[sqrt[x],pow[x,x]]",-0.014653249568279361,False,results/zipf_angle1_head_windows_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,top500,500,5.459825717352129,5.314752812022188,5.307410846771591,5.32331501646149,moe,0.015904169689899383,0.008562204439302334,-0.1365107008906392,"eml[sub[x,1],eml[x,1]]",-0.013330576566181862,False,results/zipf_angle1_head_windows_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,top1000,1000,5.740769074289566,5.6082921736551965,5.592760068405524,5.6078847065537225,moe,0.015124638148198422,-0.00040746710147399057,-0.13288436773584333,"eml[sub[x,1],eml[x,1]]",-0.01014751218493954,False,results/zipf_angle1_head_windows_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,full,15574,6.5561671213110975,6.496279797495423,6.49630277625205,6.496925073059477,zm,0.0006222968074265367,0.0006452755640538044,-0.059242048251620716,"sub[pow[x,x],sqrt[x]]",-0.0013981574011522058,False,results/zipf_angle1_head_windows_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,top50,50,4.515950727443694,4.382694209325181,4.430041731448635,4.392866911723738,zm,-0.03717481972489711,0.010172702398556943,-0.12308381571995586,"div[sub[x,1],eml[1,x]]",-0.03807156834902291,False,results/zipf_angle1_head_windows_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,top100,100,4.872232354398044,4.691168709404083,4.722742261909364,4.704670236458209,zm,-0.01807202545115505,0.01350152705412544,-0.167562117939835,"eml[sub[x,1],eml[x,1]]",-0.03216884675678921,False,results/zipf_angle1_head_windows_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,top200,200,5.192640897342903,4.997719183981026,5.010428236970967,5.01205621278683,zm,0.0016279758158628255,0.01433702880580423,-0.1805846845560728,"eml[sub[x,1],eml[x,1]]",-0.021947958016433122,False,results/zipf_angle1_head_windows_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,top500,500,5.589816339160072,5.408421633777384,5.4020102883492305,5.413024929664562,moe,0.011014641315331808,0.004603295887178227,-0.1767914094955101,"eml[sub[x,1],eml[x,1]]",-0.01901726082475582,False,results/zipf_angle1_head_windows_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,top1000,1000,5.8631571145811,5.7056722677428215,5.693387098104993,5.697791335656536,moe,0.0044042375515429555,-0.007880932086285597,-0.1653657789245644,"eml[sub[x,1],eml[x,1]]",-0.016664097056849188,False,results/zipf_angle1_head_windows_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,full,6729,6.413204348135392,6.332858287664597,6.338649310626814,6.336783021894429,zm,-0.0018662887323852573,0.003924734229832083,-0.07642132624096298,"eml[sub[x,1],eml[x,1]]",-0.0026861175930713577,False,results/zipf_angle1_head_windows_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,top50,50,4.4333046681504396,4.354996812738518,4.410433812060124,4.363435401391959,zm,-0.04699841066816557,0.008438588653440604,-0.06986926675848082,"div[sub[x,1],eml[1,x]]",-0.04276187974862321,False,results/zipf_angle1_head_windows_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,top100,100,4.794138776626341,4.677062784269737,4.718763879693407,4.690907545644896,zm,-0.0278563340485114,0.013844761375158221,-0.1032312309814456,"eml[sub[x,1],eml[x,1]]",-0.0332497815840083,False,results/zipf_angle1_head_windows_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,top200,200,5.116165789671594,4.9832951046175635,5.007957600760369,4.999395894451292,zm,-0.008561706309076378,0.016100789833728868,-0.11676989522030201,"eml[sub[x,1],eml[x,1]]",-0.023959859299125683,False,results/zipf_angle1_head_windows_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,top500,500,5.526428468021393,5.393496699456239,5.397481997390814,5.4035717670997725,zm,0.006089769708958137,0.010075067643533053,-0.12285670092162082,"eml[sub[x,1],eml[x,1]]",-0.019720765542306035,False,results/zipf_angle1_head_windows_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,top1000,1000,5.832820790474564,5.710026913159464,5.703064491589429,5.709678411706843,moe,0.006613920117414018,-0.0003485014526205532,-0.12314237876772083,"eml[sub[x,1],eml[x,1]]",-0.01593414155685373,False,results/zipf_angle1_head_windows_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,full,17653,6.850582452091423,6.803568686885705,6.812278605191087,6.806097442244247,zm,-0.006181162946839791,0.002528755358541801,-0.04448500984717629,"eml[sub[x,1],eml[x,1]]",-0.0011308453724043765,False,results/zipf_angle1_head_windows_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,top50,50,4.278869424997023,4.237089044286273,4.2720248130887795,4.257229851581542,zm,-0.01479496150723758,0.02014080729526846,-0.02163957341548084,"div[sub[x,1],eml[1,x]]",-0.014047847019555582,False,results/zipf_angle1_head_windows_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,top100,100,4.623807848851472,4.558253291975097,4.580145016806261,4.580894323970699,zm,0.0007493071644377736,0.022641031995601857,-0.042913524880773046,"mul[sub[1,x],mul[x,x]]",0.0023796617702514233,True,results/zipf_angle1_head_windows_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,top200,200,4.961560002891899,4.885939349298391,4.89313519718516,4.904636021447918,zm,0.011500824262758336,0.018696672149527416,-0.05692398144398059,"sub[sqrt[x],pow[x,x]]",-0.008158220329615523,False,results/zipf_angle1_head_windows_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,top500,500,5.393403692943568,5.31792758891626,5.309031134802197,5.32199713136506,moe,0.012965996562862792,0.004069542448799979,-0.07140656157850778,"eml[sub[x,1],eml[x,1]]",-0.009461327367524607,False,results/zipf_angle1_head_windows_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,top1000,1000,5.708190976219401,5.639690189352204,5.623506106346747,5.630730772768383,moe,0.007224666421635995,-0.008959416583820712,-0.07746020345101812,"eml[sub[x,1],eml[x,1]]",-0.007558354158444289,False,results/zipf_angle1_head_windows_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,full,13883,6.706085717676725,6.685473211034842,6.68667142363636,6.687754725961309,zm,0.0010833023249485763,0.0022815149264667767,-0.01833099171541619,"sub[pow[x,x],sqrt[x]]",0.0011603129084946096,True,results/zipf_angle1_head_windows_splitfit/summary.json
aesops_fables,Aesop's Fables,41594,4394,top50,50,4.100209181726576,4.071128251360304,4.087679097432396,4.097076033506537,zm,0.009396936074140605,0.025947782146232612,-0.0031331482200389615,"div[sub[1,x],eml[1,x]]",-0.03749340268782514,False,results/zipf_angle1_head_windows_splitfit/summary.json
aesops_fables,Aesop's Fables,41594,4394,top100,100,4.497522420113506,4.4541784657277965,4.456116010054979,4.456033976757518,zm,-8.203329746070409e-05,0.0018555110297215904,-0.04148844335598767,"eml[sub[x,1],eml[x,1]]",-0.02309785772290343,False,results/zipf_angle1_head_windows_splitfit/summary.json
aesops_fables,Aesop's Fables,41594,4394,top200,200,4.839187970431209,4.792808348389998,4.783487865889819,4.776996046426674,softk,-0.006491819463144921,-0.01581230196332406,-0.06219192400453544,"eml[sub[x,1],eml[x,1]]",-0.01754782653989101,False,results/zipf_angle1_head_windows_splitfit/summary.json
aesops_fables,Aesop's Fables,41594,4394,top500,500,5.235152478903753,5.193728225495312,5.176542419805529,5.171919281324822,softk,-0.004623138480707389,-0.021808944170490285,-0.06323319757893131,"sub[pow[x,x],sqrt[x]]",-0.0028608500998972344,False,results/zipf_angle1_head_windows_splitfit/summary.json
aesops_fables,Aesop's Fables,41594,4394,top1000,1000,5.5238297143297705,5.490185336783799,5.472250850168901,5.4719533799604125,softk,-0.0002974702084888037,-0.018231956823386852,-0.05187633436935801,"eml[sub[x,1],eml[x,1]]",-0.009838847535016973,False,results/zipf_angle1_head_windows_splitfit/summary.json
aesops_fables,Aesop's Fables,41594,4394,full,4394,6.226453453821152,6.221750903154405,6.22365870317628,6.22074737680541,softk,-0.0029113263708699932,-0.0010035263489944768,-0.005706077015741329,"eml[sub[x,1],eml[x,1]]",-0.0015259890005038523,False,results/zipf_angle1_head_windows_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,top50,50,4.394061064481104,4.296341049221136,4.340940967035025,4.29551713723951,softk,-0.0454238297955154,-0.0008239119816257912,-0.098543927241594,"div[sub[x,1],eml[1,x]]",-0.02283579242248064,False,results/zipf_angle1_head_windows_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,top100,100,4.757326658972315,4.624720883148024,4.654490528149713,4.629554399589969,zm,-0.024936128559744475,0.004833516441944852,-0.12777225938234604,"eml[sub[x,1],eml[x,1]]",-0.026297317923273902,False,results/zipf_angle1_head_windows_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,top200,200,5.0703397145341444,4.928433900670632,4.9420123554023,4.937827440020989,zm,-0.0041849153813107165,0.009393539350356583,-0.1325122745131555,"eml[sub[x,1],eml[x,1]]",-0.021679067766102185,False,results/zipf_angle1_head_windows_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,top500,500,5.454007412698273,5.319954550730808,5.316867971205799,5.3273666564599935,moe,0.01049868525419484,0.007412105729185825,-0.1266407562382792,"eml[sub[x,1],eml[x,1]]",-0.017226335348098712,False,results/zipf_angle1_head_windows_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,top1000,1000,5.729974499069209,5.611588676876511,5.602143567903294,5.611020756191627,moe,0.008877188288333393,-0.0005679206848832052,-0.11895374287758198,"eml[sub[x,1],eml[x,1]]",-0.015491366534688751,False,results/zipf_angle1_head_windows_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,full,7817,6.493105179966957,6.447377412310836,6.456988589888799,6.453747597117771,zm,-0.003240992771027962,0.006370184806935519,-0.03935758284918567,"sub[pow[x,x],sqrt[x]]",0.00019275310219099562,True,results/zipf_angle1_head_windows_splitfit/summary.json
jane_eyre,Jane Eyre,189604,12541,top50,50,4.406198144505625,4.320338945439086,4.373998816591715,4.322309888738684,zm,-0.05168892785303125,0.00197094329959846,-0.08388825576694092,"div[sub[x,1],eml[1,x]]",-0.025512487995971972,False,results/zipf_angle1_head_windows_splitfit/summary.json
