test,step,rank,expression,math,rmse,is_predicted_generator,cosine_vs_predicted,cosine_vs_negative_predicted,f_at_1,fprime_at_1,fsecond_min,bregman_conditions_pass
poisson_sorted_rank,2,7,"eml[eml[x,1],div[x,1]]","EML(EML(x,1),(x/1))",14.114256053412245,False,0.24185567189294271,-0.24185567189294271,15.154262241479262,40.193547500748537,22.33726764239691,False
poisson_sorted_rank,2,8,"eml[eml[x,1],mul[x,x]]","EML(EML(x,1),(x*x))",14.162095611816449,False,0.27814310127082098,-0.27814310127082098,15.154262241479262,39.193547524831956,28.921242919021097,False
poisson_sorted_rank,2,9,"eml[eml[x,1],add[1,x]]","EML(EML(x,1),(1+x))",14.516340895559232,False,0.20170429210509616,-0.20170429210509616,14.461115060919317,40.693547479662811,7.0792351364780188,False
poisson_sorted_rank,2,10,"eml[eml[x,1],add[x,x]]","EML(EML(x,1),(x+x))",14.535129688712741,False,0.22994972689113799,-0.22994972689113799,14.461115060919317,40.193547500748537,22.33726764239691,False
poisson_sorted_rank,2,11,"pow[eml[x,1],eml[x,x]]","pow(EML(x,1),EML(x,x))",14.661682763141156,False,0.15013084612134103,-0.15013084612134103,15.154262241479259,67.232813680486288,-10.038578317025895,False
poisson_sorted_rank,2,12,"pow[eml[x,x],eml[x,1]]","pow(EML(x,x),EML(x,1))",14.677915935777618,False,0.1999630807775801,-0.1999630807775801,15.154262241479259,67.232809918146813,17.404106897184647,False
poisson_sorted_rank,2,13,"eml[eml[x,1],eml[x,x]]","EML(EML(x,1),EML(x,x))",14.697776900885698,False,0.18202478330467714,-0.18202478330467714,14.154262241479262,40.561426895845216,-70.610095476196875,False
poisson_sorted_rank,2,14,"eml[eml[x,1],eml[x,1]]","EML(EML(x,1),EML(x,1))",14.707155258297295,False,0.20264938751784997,-0.20264938751784997,14.154262241479262,40.193547476636013,6.1724518815381089,False
poisson_sorted_rank,2,15,"eml[eml[x,1],eml[1,x]]","EML(EML(x,1),EML(1,x))",14.715669176108324,False,0.16983211862188874,-0.16983211862188874,14.154262241479262,41.56142691266723,-51.274090080896713,False
poisson_sorted_rank,2,16,"pow[eml[x,1],eml[x,1]]","pow(EML(x,1),EML(x,1))",15.064960221379922,False,0.12468004195005766,-0.12468004195005766,15.154262241479259,82.387055860628607,3.557382178341868,False
poisson_sorted_rank,2,17,"eml[eml[x,x],div[1,x]]","EML(EML(x,x),(1/x))",15.210789447636346,False,0.53942677755383051,-0.53942677755383051,15.154262241479262,27.03928885931964,43.854019767815771,False
poisson_sorted_rank,2,18,"eml[eml[x,x],1]","EML(EML(x,x),1)",15.393899167775519,False,0.56003020405947312,-0.56003020405947312,15.154262241479262,26.03928888340306,46.210729769667523,False
