sorted_position,count,empirical_prob_mixture,fitted_prob_single_poisson,residual_log_q_minus_log_p,sr_x_sorted_rank,count_over_lambda,poisson_deviance_count_lambda
32,0,0.0033689745301195536,3.7266531720786642e-06,6.8068531253423332,0.74646266266272754,0,12.5
33,32,0.001682164565652549,1.7875888840875465e-06,6.8469689553037645,0.75264643197771863,2.5600000000000001,10.580232271727077
34,33,0.0010194936761529097,6.7711700154830146e-07,7.3169725845493696,0.75864558332297927,2.6400000000000001,11.535704266221423
35,34,0.00059970216244287775,2.4894007409864711e-07,7.78697621379506,0.76447082150643986,2.7200000000000002,12.521483930468804
36,35,0.00034268694996735899,8.8907169320944669e-08,8.2569798430408063,0.77013194645422356,2.7999999999999998,13.536679601340538
37,36,0.00019038163887075062,3.0870544903105495e-08,8.7269834722865252,0.77563795240864908,2.8799999999999999,14.580450589322766
38,37,0.00010290899398419146,1.042923814294122e-08,9.1969871015322635,0.78099711389478121,2.96,15.652002928430854
39,38,5.4162628412732123e-05,3.4306704417569568e-09,9.6669907307780001,0.78621706051845786,3.04,16.750585585888949
40,39,2.7775706878324227e-05,1.0995738595374857e-09,10.136994360023738,0.79130484229296583,3.1200000000000001,17.875487071034257
41,40,1.3887853439161693e-05,3.4361683110545771e-10,10.606997989269466,0.79626698689806885,3.2000000000000002,19.026032392227236
42,41,6.7745626532497877e-06,1.047612289955689e-10,11.077001618515201,0.80110955003822248,3.2799999999999998,20.201580318238143
43,42,3.2259822158331798e-06,3.1178937201062019e-11,11.547005247760929,0.80583815987454699,3.3599999999999999,21.401520906954737
44,43,1.500456844573572e-06,9.0636445351924211e-12,12.017008877006667,0.81045805634824319,3.4399999999999999,22.625273269568204
45,44,6.8202583844254784e-07,2.5748990156796787e-12,12.487012506252416,0.81497412608446196,3.52,23.87228354284025
46,45,3.0312259486333994e-07,7.1524972657766198e-13,12.957016135498145,0.81939093345960212,3.6000000000000001,25.142023045792889
47,46,1.3179243254928353e-07,1.9436133874393717e-13,13.427019764743882,0.82371274832722186,3.6800000000000002,26.433986600318626
48,47,5.6081886191182214e-08,5.1691845410620088e-14,13.897023393989606,0.82794357082474834,3.7599999999999998,27.747690997884746
49,48,2.3367452579660286e-08,1.346141807568268e-14,14.367027023235355,0.83208715362222108,3.8399999999999999,29.082673596782513
50,49,9.5377357468001429e-09,3.4340352233884871e-15,14.837030652481079,0.83614702192320411,3.9199999999999999,30.438491036316179
51,50,3.8150942987199992e-09,8.5850880584711862e-16,15.307034281726803,0.84012649148500007,4,31.814718055994533
52,51,1.4961154112627326e-09,2.1041882496252377e-16,15.777037910972556,0.84402868488898264,4.0800000000000001,33.210946409219588
53,52,5.7542900433181794e-10,5.0581448308299361e-17,16.24704154021828,0.84785654626107732,4.1600000000000001,34.626783862204945
54,53,2.1714302050256909e-10,1.1929586865164537e-17,16.717045169464033,0.85161285461624447,4.2400000000000002,36.06185326992491
55,54,8.0423340926877248e-11,2.7614784410103339e-18,17.187048798709757,0.85530023597848159,4.3200000000000003,37.515791721825025
56,55,2.9244851246137443e-11,6.2760873659325268e-19,17.657052427955509,0.85892117440874716,4.4000000000000004,38.988249750831855
