corpus,tokens,V,zm_a,zm_b,zm_c,zm_rmse,canon_c,dc,canon_tokens,canon_rmse,cont_rmse,cont_minus_grid,cont_c,unit_winner,canon_family,unit_match,unit_is_rmse,unit_exp_rmse,unit_euclid_rmse,unit_xpow_rmse,free_winner,free_is_rmse,free_is_lam,free_exp_rmse,free_exp_lam,free_euclid_rmse,free_xpow_rmse,lzm_winner,lzm_is_rmse,lzm_is_lam,lzm_is_c,lzm_exp_rmse,lzm_exp_lam,lzm_exp_c,lzm_impr_pct,lzm_wls_lam,lzm_wls_wrmse,bic_zm,bic_lzm,lzm_bic_wins,alpha_function,alpha_content,exp_gap,hapax_ratio,ttr
Aesop's Fables,41594,4394,9.34927052523588,1.1465094546222228,3.68769267556447,0.16735320782668867,3.68769267556447,0.0,41594,0.16735320782668867,0.16735318135339675,-2.6473291919737463e-08,3.672828327482592,exp,exp,True,0.17714389109999062,0.16922954056178463,0.17799936962132099,0.1715987140149953,is,0.16733665917391707,0.038914293154224185,0.16735134578444544,0.030442757678201152,0.16735253231929803,0.16734421878348335,exp,0.16657338626341517,1.142311506795119,14.94302841941634,0.1630335414369341,16.273679891180766,197.51126358226804,2.581167368018435,0.5881771563331231,0.09416646189506421,-15684.69264166403,-15906.116475290992,True,0.9248453304969728,0.9178504785330903,0.006994851963882498,0.4710969503868912,0.10564023657258259
Complete Sherlock Holmes,105863,7817,10.968508844441589,1.25327413828657,10.294479612917323,0.16734863500618616,10.294479612917323,0.0,105863,0.16734863500618616,0.16734857222301222,-6.278317393748623e-08,10.246816332099183,exp,exp,True,0.17451384855568475,0.1692196987389224,0.1765285387850592,0.17209157842895312,xpow,0.16734520897008565,0.021173069387289946,0.16733540324125745,-0.09118472025563788,0.1673334277691388,0.16733321446552907,exp,0.16660811244251184,-1.7331907372984103,0.0,0.16232035435425593,19.185319529473926,437.83163949028716,3.0046738365952934,0.22358640108480404,0.09611149459850052,-27921.634538798946,-28389.62305745371,True,0.907582318456198,1.0644666566344556,-0.15688433817825764,0.44160163745682485,0.07384071866468926
Jane Eyre,189604,12541,11.64208716179109,1.2575444714931578,16.307585257849095,0.16124696646095946,16.307585257849095,0.0,189604,0.16124696646095948,0.16124692179295053,-4.466800893054845e-08,16.241640771934016,exp,exp,True,0.16707255792195458,0.16333010797099146,0.17007859760945207,0.1667835051731646,xpow,0.16124676936994461,0.0057315505809602835,0.16115219741349335,-0.26251279029619073,0.16115615298767533,0.16112126282175396,exp,0.158624959799521,-2.159560931978971,0.0,0.15389993043853967,22.223642617413773,995.9115049872711,4.556387126947054,-1.0992195708932637,0.07993296964346905,-45741.77821470576,-46902.02933958478,True,0.9388640483442405,1.1105294455500794,-0.17166539720583884,0.4123275655848816,0.06614311934347376
Dubliners,69264,7157,9.777159465137087,1.13717144659645,3.263282326595508,0.17478334996231457,3.263282326595508,0.0,69264,0.1747833499623146,0.17478334162100237,-8.341312196513684e-09,3.272415843873804,exp,exp,True,0.18084229963650644,0.17518979953881145,0.1807704896888139,0.17632914837060742,xpow,0.17470497398505952,0.10075103291679237,0.17456596359401605,0.3710565285003012,0.17459373328394717,0.17437291179786807,exp,0.17349208282443324,1.3795242597185324,15.576189814143872,0.16321166134810208,17.028397969215245,163.33460986520825,6.6205897854157625,0.30460402022089983,0.10342716056638981,-24939.9668073569,-25911.5901193983,True,0.9274861608527241,0.9697194393189515,-0.042233278466227486,0.49741511806622885,0.10332929082929083
The Iliad,194969,12300,13.748003188664663,1.4879896207541863,137.39605844225042,0.18236092772098422,137.39605844225042,0.0,194969,0.18236092772098422,0.18236078203457964,-1.4568640457901516e-07,136.93290470022507,is,is,True,0.18039390059445748,0.18248795135804485,0.18573989590774218,0.18347525186194852,is,0.17984582510966235,0.6823409162929873,0.18211484003222425,0.4481202226434426,0.18197101957775197,0.18190828691455693,exp,0.16738822354092847,3.4036893429673136,399.3111084521463,0.1622153231062672,17.088009026728788,1024.3024439867497,11.04710579534898,1.0744763321134563,0.19241930927466666,-41835.22687045291,-44705.565096240935,True,0.908022696357203,1.203090282937532,-0.29506758658032906,0.4040650406504065,0.06308695228472219
Democracy in America,187753,9301,13.707948876647539,1.520609707592779,110.90450314378926,0.19237447237772765,110.90450314378926,0.0,187753,0.19237447237772765,0.19237423343012544,-2.389476022046644e-07,110.38599772902778,is,is,True,0.18941358896254673,0.1927316405122567,0.1962320636332023,0.19373191872802983,is,0.18901826836303667,0.7452299028803098,0.19220519372674325,0.36175242593283413,0.1920230439139317,0.19201652446118717,exp,0.16704010528672159,4.134872587274913,492.76036367824827,0.15332414209781675,20.608074023744642,1730.0396255414123,20.299122745992772,-0.28230270617516673,0.14165335672375043,-30634.47558000914,-34845.93791740044,True,0.9768052107179788,1.1944594661506123,-0.2176542554326335,0.3601763251263305,0.04953848939830522
Origin of Species,156024,6887,14.762043153445745,1.6889031865945188,132.51415058330616,0.180561557728977,132.51415058330616,0.0,156024,0.18056155772897703,0.18056153431711505,-2.341186194909639e-08,132.66506191411617,is,is,True,0.17636580852672973,0.18042756320488318,0.18389871461013257,0.18082337522372202,is,0.17595479345742623,0.7710491608986173,0.18010335588759238,0.5431794499160261,0.17978280643871453,0.17967199742539408,exp,0.1558547562765569,3.368069856870086,396.3359059249452,0.14197261262324815,18.327413318031468,1252.838071659047,21.3716283748786,0.6738895277584983,0.17217529215212096,-23550.216622277163,-26853.166589641223,True,0.9180803943121075,1.2460918408305535,-0.32801144651844594,0.3208944387977349,0.0441406450289699
Wealth of Nations,380080,9478,16.873082150998982,1.8631975930125027,180.40850551892163,0.18142024644033924,180.40850551892163,0.0,380080,0.18142024644033927,0.18142022504554506,-2.1394794186280208e-08,180.57618525548835,is,is,True,0.17689004675116607,0.18113788155497731,0.18386891454918827,0.1817491453664055,is,0.17675658371933353,0.8560952778208022,0.18092362005588689,0.6036531761886528,0.18059391634151628,0.18061198900913414,exp,0.15692776719474608,3.753805885676779,484.3435012266602,0.1440405123444085,19.98128037179197,1406.5873566814464,20.603948472875217,0.9459489014521003,0.20675451137744325,-32329.26806482547,-36693.668997249435,True,0.8827878901823721,1.4092887410537274,-0.5265008508713552,0.3144123232749525,0.024936855398863398
Les Miserables,575614,22677,15.067950104961323,1.525726032575081,182.47253316947916,0.1884156100596475,182.47253316947916,0.0,575614,0.1884156100596475,0.18841558220360335,-2.7856044138019342e-08,182.16388658042297,is,is,True,0.1868492241461159,0.18880587501084395,0.1915234203750298,0.19057622310613384,is,0.18653988709356228,0.711617356933913,0.18833449741982075,0.2930890962468872,0.18823658955788078,0.1883138709673574,exp,0.1699464132865088,5.0527843950091516,801.0855066709308,0.15819677842411026,23.68531825144729,2628.376263892365,16.03839067578888,0.6084324877933333,0.13328127827175798,-75670.5037681697,-83588.83114316761,True,0.9795553043060434,1.295099014525564,-0.31554371021952066,0.3787538034131499,0.03939619258739364
Decline and Fall Vol 1,262698,15983,14.061431507653781,1.4811860545491393,211.07196916272378,0.20969049311274274,211.07196916272378,0.0,262698,0.20969049311274274,0.20969046662255084,-2.649019190115176e-08,210.7400432763157,is,is,True,0.20588602115601315,0.20932438344350113,0.21103785977955936,0.2099562589334897,is,0.20588211926806393,0.9691220130269642,0.20923121733411432,0.6895616069528535,0.20898095893984817,0.20903635578938515,exp,0.1870927881096973,4.570231238813881,772.1477570400125,0.1812652249965107,19.24880975906246,1847.2972134690183,13.555821102938046,-0.013816913883378745,0.1835896820063675,-49905.77567443126,-54552.62552205647,True,1.0430964323854266,1.1902122259217738,-0.14711579353634718,0.4257023087029969,0.06084172700210889
Emile,252843,11174,13.412000316341084,1.4640963553063011,51.48067915381241,0.1787665798304264,51.48067915381241,0.0,252843,0.17876657983042643,0.17876656674681868,-1.3083607725006274e-08,51.41211334965145,exp,exp,True,0.18153925124038928,0.18033837337902994,0.1859270682379074,0.18290425956361436,is,0.1783793336796879,0.2585560527726618,0.1787511640874529,-0.10906058632151355,0.17876381172332928,0.17875824273225466,exp,0.17191373387112086,3.100107546836027,209.08800131466367,0.16049780454870655,21.70743435481331,1126.5038314437104,10.219345975656731,0.3766055918043524,0.10260799471272763,-38448.01428120331,-40847.822262872105,True,0.8828574923373642,1.236431356909189,-0.3535738645718247,0.3884016466797924,0.044193432288020626
Ulysses,268854,28990,10.411003831552007,1.0451073572679233,0.6324152122192379,0.1836179291561817,0.6324152122192379,0.0,268854,0.1836179291561817,0.18361792789374637,-1.2624353229462315e-09,0.6360082579372768,exp,exp,True,0.18470612653968835,0.1830188859516617,0.18493789288633786,0.18357922799465135,xpow,0.18324453200883759,0.3354134307990898,0.1829952945989064,0.8371750412555964,0.18301093722638,0.1827622487397915,exp,0.18007672922785645,3.1761067614177203,42.731266725562215,0.16763346899405815,24.244250252641777,632.6569150654883,8.705282885816386,0.30341772768117914,0.08020050239532865,-98239.37074632023,-103509.75574852868,True,0.9406036759385783,0.981814175316593,-0.04121049937801469,0.5401517764746464,0.10782804049781666
Collected Poe,91801,9312,10.109216103413573,1.1335308814516538,6.957528471368607,0.17261835225209593,6.957528471368607,0.0,91801,0.17261835225209593,0.17261834759250413,-4.659591795741491e-09,6.944518788746163,exp,exp,True,0.17929969444976793,0.17464893963749706,0.18172637023290397,0.17780968721161985,xpow,0.17261762587797277,-0.010434474367385366,0.17255538453651983,-0.20907163354854047,0.17254608997457185,0.17252870546013133,exp,0.1711946161758508,-1.3001998603493647,0.0,0.16416523927172963,19.82060947623581,675.2202852312596,4.896995522249671,0.46006745169115837,0.1085713070676555,-32688.845461047335,-33614.810441298534,True,0.9855895115945241,0.9845346142854404,0.0010548973090837022,0.46713917525773196,0.10143680352065881
Principia Ethica,98676,3814,14.70771209336563,1.8145813303243723,78.7645572814913,0.18553045124099837,78.7645572814913,0.0,98676,0.18553045124099837,0.18552989128928601,-5.599517123588971e-07,79.14334018258795,is,is,True,0.18433252648149637,0.18570469317744598,0.1910041357978379,0.18558013861480338,is,0.18217156699955378,0.555312653938433,0.185132622542033,0.4546610162605803,0.1849074841336849,0.18446200310602276,exp,0.16996097783700237,2.2331073769603687,171.13577533023775,0.16143038604634072,14.246951166351694,427.7596341936607,12.989816514461236,0.10916256986108173,0.17144275739561943,-12824.903234798714,-13878.055033600553,True,0.9150672135498009,1.2677507478286771,-0.3526835342788762,0.35841636077608807,0.03865174915886335
Critique of Pure Reason,209795,6537,14.536275381068561,1.6898662237513569,57.9583035946641,0.17572941010503934,57.9583035946641,0.0,209795,0.17572941010503937,0.17572888542332804,-5.246817113002678e-07,58.27824583939293,exp,exp,True,0.17708956325481864,0.176473125494966,0.1820143908962011,0.17747111204888782,is,0.1743201243520799,0.41587751926501104,0.17560985434487456,0.27100486951865205,0.17554824226641247,0.17537155449334724,exp,0.16684337611261973,2.2652953335530635,129.76308033699743,0.16144285315013612,15.3477531676428,342.8559779036702,8.12986110086164,0.6894136874013774,0.18939954873604248,-22706.845057325914,-23806.658407398107,True,0.9153734579135177,1.338419598047855,-0.4230461401343374,0.38442710723573503,0.031158988536428418
