corpus,model,nll,theta
Grimm's Fairy Tales,one,13439.033224687193,-2.0653;1.0459
Origin of Species,two,20413.648303032176,0.4456;-1.8972;1.0385;0.4654;0.7460
Grimm's Fairy Tales,one,13438.783689671414,-1.8418;1.0187
Grimm's Fairy Tales,two,13437.885155664346,-1.2222;-1.5993;0.8384;1.1782;0.7652
Grimm's Fairy Tales,one,13447.053539000273,-1.5429;0.9452
Origin of Species,two,20412.518365695138,20.7087;-4.6922;1.3350;1.4074;0.7518
Complete Works of Shakespeare,two,73437.6279167252,-13.6739;-2.0051;1.0842;1.6626;1.2319
Grimm's Fairy Tales,one,13438.840658526653,-2.3349;1.0876
Grimm's Fairy Tales,one,13438.813705489243,-2.3165;1.0792
Origin of Species,two,20413.64830303178,0.4455;-1.8972;1.0385;0.4654;0.7460
Grimm's Fairy Tales,one,13489.897847474156,-6.2821;1.4295
Ulysses,two,55696.044511786895,18.6183;-3.1255;0.5564;-0.0915;0.8869
Origin of Species,two,20414.42559689869,0.6303;-1.2161;0.9557;-16.6407;0.9191
Origin of Species,two,20416.929549966946,20.4484;-2.2080;1.1122;0.4245;0.7505
Grimm's Fairy Tales,two,13437.440360698454,-3.0412;-1.5089;0.9112;1.5938;0.5779
Ulysses,two,55677.700911884625,-2.6464;-3.8205;0.9386;0.2870;1.3121
Grimm's Fairy Tales,two,13436.57270562349,19.7040;-4.3624;1.2422;1.0612;0.9223
Grimm's Fairy Tales,two,13437.104336420312,22.4417;-3.3987;1.2413;0.6560;0.8110
Grimm's Fairy Tales,two,13458.043923681627,-0.2501;-0.8175;0.4462;1.1220;0.3974
Grimm's Fairy Tales,two,13436.507385912008,20.5712;-4.1878;1.2421;0.9944;0.9117
Grimm's Fairy Tales,two,13437.9113701249,18.3430;-2.7042;1.1074;-0.1521;0.9754
Grimm's Fairy Tales,two,13438.39390606506,33.2181;-11.9068;-0.1137;2.2430;1.0363
