slug,name,lambda_mech,test_avg_nll,train_step2_gain,heldout_step2_gain,heldout_step2_help,k,w,alpha_tail,beta_tail
origin_of_species,Origin of Species,0.1,6.417496221600333,0.15275626694734476,0.5199274665559204,1,582.8834257527382,1.6635522527342186,5.99935261370319,0.0015960801377943312
origin_of_species,Origin of Species,1.0,6.376440986003278,0.006340258257848147,0.30523831469890417,1,102.51825345459436,1.3968731726021664,1.0019717681680829,0.0022061469767758485
origin_of_species,Origin of Species,10.0,6.3856437353038835,0.008144996551445821,0.3487787714571283,1,160.31373648717565,1.3753706136654857,2.790715671776309,0.18757279962817255
origin_of_species,Origin of Species,100.0,6.382669334743493,0.0018492790914510782,0.3228833603652743,1,160.2514282882658,1.3885180310446483,2.6665638832052108,0.38998205000290254
wealth_of_nations,Wealth of Nations,0.01,6.153907153699176,-0.0009465846926356714,0.3102430302400606,1,57.89031835115029,0.8449499247066583,2.4279189731287163,1.5956059037340382
wealth_of_nations,Wealth of Nations,0.1,6.153912661465799,-0.0009510726942526804,0.3103512133790526,1,57.89121925633516,0.8446648305109905,2.428420800097769,1.5963341487356524
wealth_of_nations,Wealth of Nations,1.0,6.153915156493214,-0.0009622038007360556,0.3101885707879314,1,57.88829583506155,0.8445263991832358,2.4290324545787043,1.5966760411391783
wealth_of_nations,Wealth of Nations,10.0,6.1539263832399165,-0.0009603883885560549,0.31067260316258183,1,57.882183360562976,0.8442184146785964,2.429387689148202,1.597309213900029
wealth_of_nations,Wealth of Nations,100.0,6.153932083385938,-0.0009629164802616719,0.31084462111558664,1,57.87740018566811,0.843876577310689,2.4301549920846384,1.5976340446073416
les_miserables,Les Miserables,0.01,6.8001733408128215,-0.0008637904006603692,0.3867357984477706,1,44.57722854949139,1.8976108384727004,1.5216081784219961,2.191657937444141
les_miserables,Les Miserables,0.1,6.800220700688515,-0.0008817999925436193,0.3866699917020324,1,44.93237183751308,1.8909536689142594,1.5235102706597359,2.194762483176533
les_miserables,Les Miserables,1.0,6.800294688001112,-0.0009015605315825792,0.38707581386274625,1,45.31941551811669,1.8843283412808216,1.5254709664576784,2.195563000415461
les_miserables,Les Miserables,10.0,6.800368321935039,-0.0009226799568784472,0.38742553813990155,1,45.70685826846648,1.8780764818599085,1.527289132317561,2.194266109810412
les_miserables,Les Miserables,100.0,6.800444403893097,-0.0009394446481889862,0.3878878049794102,1,46.08016692154315,1.8717814648237456,1.5290168221823668,2.1924783373921715
decline_and_fall_vol1,Decline and Fall Vol 1,0.01,6.717759356887849,0.05895840935966784,0.3602217993515119,1,156.95763865746775,0.26630447951069053,1.2550194377284953,4.962766067451528
decline_and_fall_vol1,Decline and Fall Vol 1,0.1,6.716407380588885,0.0023099749477493714,0.3969517347373779,1,170.69157157556594,1.864869305765821,2.9473036184582972,3.7282288901696994
decline_and_fall_vol1,Decline and Fall Vol 1,1.0,6.71623776253716,0.0014687433399240557,0.3936775842547223,1,167.76403380514242,1.847719087721212,2.9035451420339835,3.6400565830178686
decline_and_fall_vol1,Decline and Fall Vol 1,10.0,6.7161645816952795,0.0013567014502551267,0.39146519571550054,1,165.65306816481603,1.833671202969283,2.8808122710179482,3.5603562450054285
decline_and_fall_vol1,Decline and Fall Vol 1,100.0,6.716065254303519,0.0011540416478121596,0.3871781524918857,1,165.69793135736214,1.8235787245338155,2.8669502958157222,3.4918174603607555
emile,Emile,0.01,6.487042368210023,0.0006331349646863937,0.404475577240033,1,91.34094772356369,3.451608254485219,1.5197791935960814,11.394424099312278
