k,empirical_prob,fitted_prob,log_density_residual,pointwise_kl_contribution_q_log_q_over_p,count_over_lambda,poisson_deviance_D_k_lambda,normalized_poisson_deviance,sr_x,kl_generator_on_sr_x
62,1.5102321924110478e-14,1.2073784187687217e-23,20.947077832675635,3.1634951279846582e-13,4.96,49.787155925683834,3.9829724740547068,0.88259045820024318,0.0071792950992266569
63,4.7943879124162397e-15,2.3955921007316574e-24,21.417081461921391,1.0268179648026984e-13,5.04,51.396583171246462,4.1117266536997166,0.88575519519527302,0.0067897056455853422
64,1.4982462226300464e-15,4.6788908217414838e-25,21.887085091167116,3.2792242562223539e-14,5.1200000000000001,53.021884099290645,4.241750727943252,0.88887086451922082,0.006417202564268365
65,4.6099883773232724e-16,8.9978669648876718e-26,22.35708872041284,1.0306591915188842e-14,5.2000000000000002,54.662810663179812,4.3730248530543854,0.89193896451026411,0.0060610591915619683
66,1.3969661749464432e-16,1.7041414706226326e-26,22.827092349658592,3.1888675884851781e-15,5.2800000000000002,56.319122449399231,4.5055297959519383,0.89496092590716181,0.005720588570049423
67,4.1700482834221178e-17,3.1793684153406921e-27,23.297095978904316,9.7150015095550272e-16,5.3600000000000003,57.990586330541618,4.6392469064433293,0.89793811585552474,0.0053951407605066226
68,1.2264847892417819e-17,5.8444272340821385e-28,23.767099608150041,2.9149986153790339e-16,5.4400000000000004,59.676976139013888,4.7741580911211114,0.90087184162162304,0.0050841003709578558
69,3.5550283746138169e-18,1.0587730496525303e-28,24.237103237395793,8.6163589727386445e-17,5.5199999999999996,61.378072359941271,4.9102457887953017,0.90376335403898556,0.0047868842825511404
70,1.0157223927468551e-18,1.8906661600938657e-29,24.707106866641546,2.5095561704437405e-17,5.5999999999999996,63.09366184187725,5.0474929473501797,0.90661385071053402,0.0045029395540694406
71,2.8611898387234554e-19,3.3286376057990041e-30,25.17711049588727,7.2036492719250316e-18,5.6799999999999997,64.823537524047254,5.1858830019237807,0.90942447898676926,0.0042317414888053406
72,7.9477495520097556e-20,5.7788847322901174e-31,25.647114125132994,2.0383683979836883e-18,5.7599999999999998,66.5674981789616,5.3253998543169283,0.91219633873854378,0.0039727918492055148
73,2.1774656306874758e-20,9.8953505689894567e-32,26.117117754378718,5.6869126282777324e-19,5.8399999999999999,68.325348169329885,5.4660278535463904,0.91493048494119478,0.0037256172061828075
74,5.8850422451018916e-21,1.6715119204375516e-32,26.587121383624471,1.5646633251828186e-19,5.9199999999999999,70.09689721829767,5.6077517774638137,0.91762793008522481,0.0034897674113114618
75,1.5693445986937758e-21,2.7858532007291751e-33,27.057125012870195,4.24619529951301e-20,6,71.881960192104117,5.7505568153683297,0.92028964642732669,0.0032648141812923193
76,4.1298542070888011e-22,4.5819953959359724e-34,27.527128642115947,1.1368302803171718e-20,6.0800000000000001,73.680356894333755,5.8944285515467003,0.92291656809426281,0.003050349785116202
77,1.0726894044386374e-22,7.4383042141817735e-35,27.997132271361671,3.0032227142156706e-21,6.1600000000000001,75.491911870997995,6.0393529496798397,0.92550959305100333,0.0028459858252801729
78,2.7504856524069195e-23,1.1920359317599474e-35,28.467135900607424,7.829844885973865e-22,6.2400000000000002,77.316454225744224,6.185316338059538,0.92806958494349323,0.002651352105236926
