transition_fraction,sigmoid_width,tail_slope_b2,tail_head_slope_contrast,transition_k,single_zm_c,theta_deg,angle_r2,winner_full,winner_top100,flip_lambda,source_model
0.5,1.7,1.8,1.1999999999798099,101.20770721639731,131.4295145720493,-18.85893633496225,0.9894400749295809,is,is,1.05,legacy_coupled_logistic
0.5,1.7,2.0,0.9999999999798099,101.20770721639731,206.89431475672052,-20.667507131932815,0.9920835880273373,is,is,1.05,legacy_coupled_logistic
0.5,1.7,2.2,0.7999999999798098,101.20770721639731,271.6326363120787,-21.376497089344564,0.9930512620963883,is,is,1.05,legacy_coupled_logistic
0.5,1.7,2.4,0.59999999997981,101.20770721639731,356.6279198952871,-22.1573980462517,0.9941877388129051,is,is,1.05,legacy_coupled_logistic
0.5,1.7,2.6,0.39999999997980984,101.20770721639731,390.50488503703775,-22.039025001522358,0.9939134365143271,is,is,1.05,legacy_coupled_logistic
0.55,0.2,1.6,1.3999999999798098,160.59608171734524,0.0,-36.18400835933836,0.9242184949226278,xpow,is,0.0,legacy_coupled_logistic
0.55,0.2,1.8,1.1999999999798099,160.59608171734524,0.0,-36.75827532999039,0.9164792252055733,xpow,is,0.0,legacy_coupled_logistic
0.55,0.2,2.0,0.9999999999798099,160.59608171734524,0.0,-37.36036183533041,0.907626271160574,xpow,is,0.0,legacy_coupled_logistic
0.55,0.2,2.2,0.7999999999798098,160.59608171734524,0.0,-37.99219640192056,0.8975110758979629,xpow,is,0.0,legacy_coupled_logistic
0.55,0.2,2.4,0.59999999997981,160.59608171734524,0.0,-38.65587387382957,0.8859969064283858,xpow,is,0.0,legacy_coupled_logistic
0.55,0.2,2.6,0.39999999997980984,160.59608171734524,0.0,-39.35367135343801,0.8729888251166027,xpow,is,0.0,legacy_coupled_logistic
0.55,0.5,1.6,1.3999999999798098,160.59608171734524,0.07708683137978387,-41.07690077744359,0.8756499761386743,xpow,exp,0.0,legacy_coupled_logistic
0.55,0.5,1.8,1.1999999999798099,160.59608171734524,1.1730434871038737,-41.431340072473695,0.8319689530699905,exp,exp,1.05,legacy_coupled_logistic
0.55,0.5,2.0,0.9999999999798099,160.59608171734524,3.1829993446657214,-41.1851957650841,0.7994124474700152,exp,exp,1.05,legacy_coupled_logistic
0.55,0.5,2.2,0.7999999999798098,160.59608171734524,6.578480535262056,-40.04448126147869,0.8001120397076271,exp,exp,1.05,legacy_coupled_logistic
0.55,0.5,2.4,0.59999999997981,160.59608171734524,11.339460110930524,-38.261942344314015,0.8317545332770601,exp,xpow,0.8500000000000001,legacy_coupled_logistic
0.55,0.5,2.6,0.39999999997980984,160.59608171734524,17.850403214234102,-35.88865672593996,0.8775657173987361,exp,xpow,0.55,legacy_coupled_logistic
0.55,0.8,1.6,1.3999999999798098,160.59608171734524,10.35574259644199,-33.63804993784299,0.9539236587940954,exp,xpow,1.0,legacy_coupled_logistic
0.55,0.8,1.8,1.1999999999798099,160.59608171734524,48.43624499651203,-27.808289191668113,0.9833581931069847,exp,is,1.05,legacy_coupled_logistic
0.55,0.8,2.0,0.9999999999798099,160.59608171734524,109.61516518440747,-27.425523678584693,0.985903230522387,is,is,1.05,legacy_coupled_logistic
0.55,0.8,2.2,0.7999999999798098,160.59608171734524,172.55450240090693,-27.58700087063282,0.9868731725181746,is,is,1.05,legacy_coupled_logistic
0.55,0.8,2.4,0.59999999997981,160.59608171734524,226.54771567692268,-27.680471452175688,0.9872351055948124,is,is,1.05,legacy_coupled_logistic
0.55,0.8,2.6,0.39999999997980984,160.59608171734524,271.6326363120787,-27.708073694580456,0.9873389035609712,is,is,1.05,legacy_coupled_logistic
0.55,1.1,1.6,1.3999999999798098,160.59608171734524,12.416623376826974,-30.947913840596865,0.9756398366342263,exp,xpow,0.9500000000000001,legacy_coupled_logistic
0.55,1.1,1.8,1.1999999999798099,160.59608171734524,58.07546936479891,-24.8466771341902,0.9884213362522647,exp,is,1.05,legacy_coupled_logistic
0.55,1.1,2.0,0.9999999999798099,160.59608171734524,143.91432811402282,-25.59771889308235,0.9907969714879703,is,is,1.05,legacy_coupled_logistic
0.55,1.1,2.2,0.7999999999798098,160.59608171734524,226.54771567692268,-26.10088007930533,0.9917072172305379,is,is,1.05,legacy_coupled_logistic
0.55,1.1,2.4,0.59999999997981,160.59608171734524,297.4356899664534,-26.325954710577086,0.9920319712523116,is,is,1.05,legacy_coupled_logistic
0.55,1.1,2.6,0.39999999997980984,160.59608171734524,390.50488503703775,-26.595464927903812,0.992409957351836,is,is,1.05,legacy_coupled_logistic
0.55,1.4,1.6,1.3999999999798098,160.59608171734524,9.457364254969171,-32.48878309752116,0.9668873169364168,exp,xpow,0.9500000000000001,legacy_coupled_logistic
0.55,1.4,1.8,1.1999999999798099,160.59608171734524,36.89241415905801,-21.470143568928464,0.9888241389164325,exp,xpow,0.9500000000000001,legacy_coupled_logistic
