corpus,panel,fold,V_train,V_test,lzm_gen,zm_train_rmse,lzm_train_rmse,zm_ho,lzm_ho,moe_ho,lzm_impr_pct
Wealth of Nations,en,A>B,7533,7477,exp,0.1766816379238047,0.1525858445808423,0.17486657550524348,0.1516611116872028,0.16529282827527705,13.270382719506532
Wealth of Nations,en,B>A,7477,7533,exp,0.174510613089975,0.15118679478607414,0.17636111642831112,0.15142548748121143,0.1664311623800782,14.138960702959574
Les Miserables,en,A>B,17190,17187,exp,0.17862688033938087,0.16130075531115665,0.1803545785606209,0.1630180355879074,0.17025632856801512,9.612477327203719
Les Miserables,en,B>A,17187,17190,exp,0.18032693743128525,0.1629856169381945,0.1786406763660929,0.16130452819992044,0.16841597847144438,9.704479695679751
Decline and Fall Vol 1,en,A>B,11817,11848,exp,0.19680867534295315,0.1729846993259574,0.1942030038636197,0.1713697606049365,0.18083232149942105,11.757409929002943
Decline and Fall Vol 1,en,B>A,11848,11817,exp,0.19426119743271672,0.17167182930235808,0.1969077348211672,0.17313478869153734,0.18297485133145214,12.073139814045694
Emile,en,A>B,8380,8481,exp,0.16865936412302052,0.16299865994476131,0.16652265809914074,0.16052893266085494,0.16427453027010944,3.59934528232031
Emile,en,B>A,8481,8380,exp,0.16781792496926307,0.1620282293043278,0.1689969513072878,0.16336573086835415,0.16724735829259813,3.3321432104975606
Ulysses,en,A>B,19536,19599,exp,0.19913314486004768,0.16978627910421415,0.1977751261353341,0.1689376810448045,0.23228431985202308,14.58092615286547
Ulysses,en,B>A,19599,19536,exp,0.19840731717376095,0.16916355128208593,0.19916928271268244,0.16983136002903418,0.23418476927722365,14.730144269269955
Collected Poe,en,A>B,6638,6640,exp,0.17462472343431026,0.1664226347587882,0.17263327203136247,0.16490736490779628,0.2010462943249098,4.4753291371101485
Collected Poe,en,B>A,6640,6638,exp,0.17250623580189672,0.1647502128582395,0.17479572260564166,0.16660462728589107,0.20188258617624935,4.686095974001954
Principia Ethica,en,A>B,2944,2970,exp,0.18505081445663238,0.16697690679250352,0.18400270646599232,0.16607780757410995,0.17434209712270687,9.741649585570242
Principia Ethica,en,B>A,2970,2944,exp,0.18518703495050753,0.16807098841572257,0.1851252176345066,0.16712700158090263,0.1754974494281958,9.722184953288163
Critique of Pure Reason,en,A>B,4933,4989,exp,0.18180950637730284,0.16962161814213553,0.17880851611159193,0.1666757254020718,0.17480535191002233,6.785353949220312
Critique of Pure Reason,en,B>A,4989,4933,exp,0.18120517443154316,0.16932816427490222,0.18204896758537215,0.16992253252585654,0.178055797732773,6.661084223852517
Russian War and Peace,ml,A>B,16567,16708,exp,0.21220415827811542,0.1737914597672395,0.20978236406384795,0.17154916566080866,0.28801369439283814,18.225172823108664
Russian War and Peace,ml,B>A,16708,16567,exp,0.21126700565200482,0.17199858863938003,0.21231277872500992,0.17391826694101942,0.2883205282918493,18.083938241757714
Mandarin Three Kingdoms,ml,A>B,22813,22797,exp,0.23873851124340636,0.18404132871599882,0.24562505015076136,0.18728014933450596,0.3702626248102022,23.753644337352434
Mandarin Three Kingdoms,ml,B>A,22797,22813,exp,0.24545272265051568,0.1869166590168109,0.23880839860674571,0.18439045781542296,0.36553892159410123,22.787280978729193
Arabic 1001 Nights,ml,A>B,16160,16135,exp,0.2135519814427869,0.1726320902594924,0.219112796261897,0.17455478966822033,0.31639633268714196,20.335647827896924
Arabic 1001 Nights,ml,B>A,16135,16160,exp,0.21894581377456887,0.1742215707116372,0.2134460452462084,0.1728885141147653,0.31121987418068137,19.0013036243704
Latin Gallic Wars,ml,A>B,7339,7390,exp,0.19543558361587254,0.17431566988528585,0.1936558717822702,0.1712649160082327,0.3155764739370288,11.562239537571022
Latin Gallic Wars,ml,B>A,7390,7339,exp,0.194705587831523,0.17166752506489236,0.19547184730432818,0.17441954457326453,0.3148150028368684,10.769992211864416
French Les Miserables,ml,A>B,10002,9827,exp,0.1958572635041311,0.16969366575748857,0.19358181692130433,0.17149683880337913,0.222208740669549,11.408601525267882
French Les Miserables,ml,B>A,9827,10002,exp,0.1932945881471735,0.1710620542621656,0.1922961126510031,0.1684177224541578,0.2217107242902662,12.417510613010698
Spanish Don Quixote,ml,A>B,8985,8890,exp,0.20060334119350545,0.1769414181393583,0.19782452707875653,0.1753728260868096,0.219365043867015,11.34930098076697
Spanish Don Quixote,ml,B>A,8890,8985,exp,0.19776001735660403,0.17529010323171432,0.19829503212627034,0.17578205541391545,0.2197736978226853,11.353273186399884
Dutch Max Havelaar,ml,A>B,9283,9403,exp,0.19870585688713355,0.17242456431818567,0.19591471492048992,0.16903882095388623,0.2335928970805871,13.718159954197937
Dutch Max Havelaar,ml,B>A,9403,9283,exp,0.19845185082356026,0.16993820877330618,0.19898674809360284,0.17276983823818606,0.2366702618864364,13.17520393020565
