family,case_id,step,rank,expression,math,rmse,f_at_1,fprime_at_1,fsecond_min,fsecond_positive_on_domain,bregman_conditions_pass,shape_cosine_vs_predicted
Gaussian,t2a_gaussian_euclidean,1,12,"eml[x,1]","EML(x,1)",2.3612795746672872,2.7182818284590451,2.7182817957400403,1.0514209494676834,True,False,0.55610854884241612
Gaussian,t2a_gaussian_euclidean,1,13,"eml[x,x]","EML(x,x)",2.527345636803437,2.7182818284590451,1.7182818198270979,3.6906034649864523,True,False,0.80408817381122122
Gaussian,t2a_gaussian_euclidean,1,14,"eml[1,x]","EML(1,x)",2.882973220346468,2.7182818284590451,-0.9999999759165803,1.0002850835517165,True,False,0.85973428861262313
Gaussian,t2a_gaussian_euclidean,2,1,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.18740059320489277,0,-0.49999996841550637,-42.847428372650029,False,False,-0.89012817135416877
Gaussian,t2a_gaussian_euclidean,2,2,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.1950119879893655,0,-0.36787944246349813,-8.7491173962221183,False,False,0.91433491971579761
Gaussian,t2a_gaussian_euclidean,2,3,"mul[sub[1,x],mul[x,x]]",((1-x)*(x*x)),0.19608484122882508,0,-0.99999992777111135,-3.9991448289665641,False,False,0.43305985349425807
Gaussian,t2a_gaussian_euclidean,2,4,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.19766697378178058,0,-1.2037084311749104e-08,0.38679614424790998,True,True,0.99917694017287861
Gaussian,t2a_gaussian_euclidean,2,5,"add[sqrt[x],neg[x]]",(sqrt(x)+(-x)),0.20091830715121892,0,-0.50000000451595139,-22.265322081951126,False,False,0.89127283783082834
Gaussian,t2a_gaussian_euclidean,2,6,"div[sub[1,x],eml[x,x]]","((1-x)/EML(x,x))",0.20163031343021895,0,-0.36787944873601586,-15.218695155782825,False,False,0.92523139563185453
Gaussian,t2a_gaussian_euclidean,2,7,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.20994089515071993,0,3.6100445031006685e-08,-20.582106297432802,False,False,-0.99952110555143991
Gaussian,t2a_gaussian_euclidean,2,8,"add[pow[x,x],neg[x]]","(pow(x,x)+(-x))",0.21101568366375101,0,-3.6100445031006685e-08,1.4016428997608728,True,True,0.99952110555143991
Gaussian,t2a_gaussian_euclidean,2,9,"div[sub[1,x],div[1,x]]",((1-x)/(1/x)),0.21104687446103954,0,-0.99999999999999989,-2.000000000905402,False,False,0.68070684167491446
Gaussian,t2a_gaussian_euclidean,2,10,"mul[sub[x,1],neg[x]]",((x-1)*(-x)),0.21104687446103954,-0,-0.99999999999999989,-2.0000000007566996,False,False,0.68070684167491446
Gaussian,t2a_gaussian_euclidean,2,11,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.21168303569319488,0,0.36787944246349813,0.27068585988399718,True,False,-0.91433491971579761
Gaussian,t2a_gaussian_euclidean,2,12,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.21250075627076806,0,0.49999996841550637,1.8612396931275157,True,False,0.89012817135416877
Gaussian,t2a_gaussian_euclidean,2,13,"mul[sub[1,x],sub[x,1]]",((1-x)*(x-1)),0.21564644436977573,0,0,-2.000000005241418,False,False,-1.0000000000000002
Gaussian,t2a_gaussian_euclidean,2,14,"div[log[x],eml[1,x]]","(log(x)/EML(1,x))",0.21786458027408828,0,0.36787943849232052,-21.538513304681146,False,False,-0.98641801325965284
Gaussian,t2a_gaussian_euclidean,2,15,"sub[1,pow[x,x]]","(1-pow(x,x))",0.2181551348325477,0,-0.99999996389955492,-20.582106283373832,False,False,0.80808267528779198
Gaussian,t2a_gaussian_euclidean,2,16,"mul[sub[1,x],sub[1,x]]",((1-x)*(1-x)),0.21842825392511131,0,0,1.9999999968667908,True,True,1.0000000000000002
Gaussian,t2a_gaussian_euclidean,2,17,"sub[1,sqrt[x]]",(1-sqrt(x)),0.21954587048858304,0,-0.49999999548404861,0.25005345531508283,True,False,0.9888048814285253
Gaussian,t2a_gaussian_euclidean,2,18,"div[sub[x,1],eml[x,x]]","((x-1)/EML(x,x))",0.22005164452295836,0,0.36787944873601586,-0.46499881748468397,False,False,-0.92523139563185453
Gaussian,t2a_gaussian_euclidean,2,19,"add[sub[1,x],log[x]]",((1-x)+log(x)),0.22092952360200829,0,-2.4086594518527927e-08,-397.72679878825147,False,False,-0.95951952966677001
Gaussian,t2a_gaussian_euclidean,2,20,"sub[div[x,1],sqrt[x]]",((x/1)-sqrt(x)),0.22350238462982797,0,0.50000000451595139,0.25005345531508283,True,False,-0.89127283783082834
Poisson,t2b_poisson_kl,1,1,"eml[1,x]","EML(1,x)",11.658545785404476,2.7182818284590451,-0.9999999759165803,1.0002850835517165,True,False,0.82772713081539651
Poisson,t2b_poisson_kl,1,2,"eml[x,x]","EML(x,x)",11.682764951385197,2.7182818284590451,1.7182818198270979,3.6906034649864523,True,False,0.77319576376116161
Poisson,t2b_poisson_kl,1,3,"eml[x,1]","EML(x,1)",11.728688988473211,2.7182818284590451,2.7182817957400403,1.0514209494676834,True,False,0.51199458349735971
Poisson,t2b_poisson_kl,1,4,"add[1,x]",(1+x),12.108181097120257,2,0.99999999999818101,-1.4358192856889218e-08,True,False,0.57375283001922761
Poisson,t2b_poisson_kl,1,5,"add[x,x]",(x+x),12.146811646548986,2,1.999999999998181,-1.4359102351590991e-08,True,False,0.31431941427688453
Poisson,t2b_poisson_kl,1,6,"div[1,x]",(1/x),12.697531277032857,1,-0.9999999277306415,2.0008553455445508,True,False,0.95191697440053658
Poisson,t2b_poisson_kl,1,7,sqrt[x],sqrt(x),12.709491359081634,1,0.49999999548435881,-22.265322082997045,False,False,0.47257427481213266
Poisson,t2b_poisson_kl,1,8,"pow[x,x]","pow(x,x)",12.710570245079914,1,0.9999999638994268,1.4016428987142717,True,False,0.6702812791067827
Poisson,t2b_poisson_kl,1,9,"div[x,1]",(x/1),12.728476114734599,1,0.99999999999909051,-7.1795511757954955e-09,True,False,0.31431941427688453
Poisson,t2b_poisson_kl,1,10,"mul[x,x]",(x*x),12.758072248712976,1,1.9999999999990905,1.9999999908832251,True,False,0.15486188501192547
Poisson,t2b_poisson_kl,1,11,"sub[1,x]",(1-x),13.278691000233719,0,-1,-2.3928805603645742e-09,True,False,0.94191092803118037
Poisson,t2b_poisson_kl,1,12,"sub[x,1]",(x-1),13.394781033151613,0,1,-3.5902303352486342e-09,True,False,-0.94191092803118037
Poisson,t2b_poisson_kl,1,13,log[x],log(x),13.438959419731797,0,0.9999999759134055,-397.72679873318702,False,False,-0.99400774621005916
Poisson,t2b_poisson_kl,1,14,neg[x],(-x),13.958449598794878,-1,-0.99999999999909051,-2.3928805603645742e-09,True,False,-0.31431941427688453
Poisson,t2b_poisson_kl,2,1,"pow[eml[x,1],eml[x,1]]","pow(EML(x,1),EML(x,1))",6.5879150554893551,15.154262241479259,82.387055860628607,3.557382178341868,True,False,0.21920705846251448
Poisson,t2b_poisson_kl,2,2,"pow[eml[x,1],eml[x,x]]","pow(EML(x,1),EML(x,x))",6.7762750957771232,15.154262241479259,67.232813680486288,-10.038578317025895,False,False,0.26290456474192581
Poisson,t2b_poisson_kl,2,3,"pow[eml[x,x],eml[x,1]]","pow(EML(x,x),EML(x,1))",6.8419990937497293,15.154262241479259,67.232809918146813,17.404106897184647,True,False,0.43312917345934204
Poisson,t2b_poisson_kl,2,4,"eml[eml[x,1],eml[1,x]]","EML(EML(x,1),EML(1,x))",7.3450693679494519,14.154262241479262,41.56142691266723,-51.274090080896713,False,False,0.27582790683177782
Poisson,t2b_poisson_kl,2,5,"eml[eml[x,1],div[1,x]]","EML(EML(x,1),(1/x))",7.3454010963250367,15.154262241479262,42.193547452567145,-391.55434682669147,False,False,0.24031322144552228
Poisson,t2b_poisson_kl,2,6,"eml[eml[x,1],add[1,x]]","EML(EML(x,1),(1+x))",7.4145556169618301,14.461115060919317,40.693547479662811,7.0792351364780188,True,False,0.3775610030413164
Poisson,t2b_poisson_kl,2,7,"eml[eml[x,1],eml[x,x]]","EML(EML(x,1),EML(x,x))",7.4162832009703052,14.154262241479262,40.561426895845216,-70.610095476196875,False,False,0.3104336612534474
Poisson,t2b_poisson_kl,2,8,"eml[eml[x,1],1]","EML(EML(x,1),1)",7.4220741908857377,15.154262241479262,41.193547476636013,6.1724518887122031,True,False,0.37668640483211291
Poisson,t2b_poisson_kl,2,9,"eml[eml[x,1],eml[x,1]]","EML(EML(x,1),EML(x,1))",7.4467151192741392,14.154262241479262,40.193547476636013,6.1724518815381089,True,False,0.38178630752360737
Poisson,t2b_poisson_kl,2,10,"eml[eml[x,1],add[x,x]]","EML(EML(x,1),(x+x))",7.4597925441160449,14.461115060919317,40.193547500748537,22.33726764239691,True,False,0.46584789982354824
Poisson,t2b_poisson_kl,2,11,"eml[eml[x,1],sqrt[x]]","EML(EML(x,1),sqrt(x))",7.476429354037494,15.154262241479262,40.693547488714103,17.787880441703237,True,False,0.43610140228703548
Poisson,t2b_poisson_kl,2,12,"eml[eml[x,1],pow[x,x]]","EML(EML(x,1),pow(x,x))",7.5178134390232669,15.154262241479262,40.193547464616131,-13.770657484399635,False,False,0.39481342613574999
Poisson,t2b_poisson_kl,2,13,"eml[eml[x,1],div[x,1]]","EML(EML(x,1),(x/1))",7.5411708326830365,15.154262241479262,40.193547500748537,22.33726764239691,True,False,0.48963832754389491
