slug,corpus,single_zm_c,transition_fraction,empirical_winner,theta_deg,angle_r2,beta_exp,beta_xpow,winner_full,winner_top100,flip_lambda_exp_to_xpow,scores_lambda_1_json
complete_sherlock_holmes,Complete Sherlock Holmes,10.294479612917323,0.4799837202376792,exp,95.58663282143772,0.7376209690466442,-0.1499402014854464,1.532890797489276,exp,xpow,0.75,"{""is"":0.3774546266674287,""exp"":0.20196598397911994,""xpow"":0.11603142048846408}"
jane_eyre,Jane Eyre,16.307585257849095,0.49805330721568547,exp,103.00286395094594,0.8266542605727539,-0.7372644233459764,3.1927149541336175,exp,xpow,0.8,"{""is"":0.4006226708621517,""exp"":0.29091136737552115,""xpow"":0.20598486380816006}"
dubliners,Dubliners,3.263282326595508,0.7096807426139757,exp,137.99105384596766,0.22640718600594634,-1.7385192888549472,1.5658613937115122,exp,xpow,0.65,"{""is"":0.4271378674394445,""exp"":0.20163835809628416,""xpow"":0.15196114295759697}"
the_iliad,The Iliad,137.39605844225042,0.4513937863547012,is,58.49651988343952,0.9802570856367723,2.876766729706693,4.693816667012666,is,is,0.65,"{""is"":0.41214543995726066,""exp"":0.6104220284548685,""xpow"":0.5887057476066367}"
democracy_in_america,Democracy in America,110.90450314378926,0.4779624131952507,is,32.73658569877668,0.9891761936935384,4.977445774064837,3.199953474297438,is,is,0.7000000000000001,"{""is"":0.4298930885093443,""exp"":0.6427339900858019,""xpow"":0.6302180689070556}"
origin_of_species,Origin of Species,132.51415058330616,0.4484959616287978,is,23.196716899515586,0.9742570599479536,5.0654227976301245,2.1706994201611898,is,is,0.35000000000000003,"{""is"":0.3922634626915665,""exp"":0.5730373848961033,""xpow"":0.5565132475321279}"
wealth_of_nations,Wealth of Nations,180.40850551892163,0.46984631997148063,is,30.407038539567022,0.9901790275405798,4.919697580120766,2.887181878485401,is,is,,"{""is"":0.40549205948382955,""exp"":0.6412587269439303,""xpow"":0.6433237888378663}"
les_miserables,Les Miserables,182.47253316947916,0.5343972664323318,is,-3.9338918561228255,0.9828615094092391,10.208114448015257,-0.7019860853149035,is,is,,"{""is"":0.6307408920655027,""exp"":0.8892717038110257,""xpow"":0.9038284368990465}"
decline_and_fall_vol1,Decline and Fall Vol 1,211.07196916272378,0.5009120001698419,is,21.872010054164786,0.9894833901096576,7.296377345868469,2.928985282742139,is,is,,"{""is"":0.6599235617012669,""exp"":0.9115484337410431,""xpow"":0.9151608335161129}"
emile,Emile,51.48067915381241,0.5150827248281323,exp,4.545993165838175,0.9794599643571731,4.876753285660273,0.3877480314950805,exp,is,0.8500000000000001,"{""is"":0.26249154640854644,""exp"":0.36060640874028405,""xpow"":0.3296214385303875}"
ulysses,Ulysses,0.6324152122192379,0.5077346007062976,exp,-52.374996129222126,0.5857779266380081,1.5077194281369943,-1.9560471653702438,exp,exp,,"{""is"":0.4385339681448714,""exp"":0.14376931264989362,""xpow"":0.1618165222268139}"
collected_poe,Collected Poe,6.957528471368607,0.463001687655287,exp,110.16525769308778,0.844987676944332,-1.1533556201464508,3.1406040395392,exp,xpow,0.7000000000000001,"{""is"":0.43173999300851923,""exp"":0.2926717980280054,""xpow"":0.19935733248343432}"
principia_ethica,Principia Ethica,78.7645572814913,0.4243006155602499,is,75.00515393245256,0.8815507506637108,1.0218463297352274,3.814955055011586,is,xpow,0.0,"{""is"":0.385754661696762,""exp"":0.44239920788537074,""xpow"":0.38399362271845605}"
