book,heading,token_count,vocabulary_size,test_token_count,softk_lambda,zipf_test_avg_nll,zm_test_avg_nll,moe_test_avg_nll,softk_test_avg_nll,softk_minus_zm,softk_minus_moe,step2_gain,step2_helps,step2_expression,softk_rmse
Habakkuk,Habakkuk,1479,505,309,0.01,5.376626609983724,5.376841064987053,5.383448687381059,5.4071240866491355,0.030283021662082632,0.02367539926807627,0.005711855997552695,True,"sub[pow[x,x],sqrt[x]]",0.2058857987964874
Zephaniah,Zephaniah,1622,466,331,0.001,5.214068418279179,5.214294158885303,5.2238874698098225,5.218386011267635,0.004091852382331673,-0.005501458542187976,-0.007624812668968445,False,"eml[sub[x,1],eml[x,1]]",0.1213358420343969
Haggai,Haggai,1135,288,210,0.001,4.860133404224725,4.861697517802851,4.865957009628944,4.874370729250888,0.012673211448037236,0.00841371962194426,-0.010643192020634962,False,"eml[sub[x,1],eml[x,1]]",0.11635596402229245
Zechariah,Zechariah,6448,942,1316,0.03,5.423751715329505,5.418927399585859,5.427094913241396,5.437910995767833,0.018983596181974427,0.010816082526437398,-0.001898839377859174,False,"sub[pow[x,x],sqrt[x]]",0.16423651575414594
Malachi,Malachi,1793,461,373,0.03,5.169112474760056,5.166763448590742,5.1775838503085545,5.168856698620376,0.0020932500296337864,-0.008727151688178836,-0.00187901087166098,False,"sub[pow[x,x],sqrt[x]]",0.1701695853789502
Matthew,The Gospel According to Saint Matthew,23732,2100,4671,0.0001,5.865166365028018,5.835929990368719,5.834171788765158,5.832154414189401,-0.0037755761793176745,-0.0020173745757565698,-0.002201783316979622,False,"eml[sub[x,1],eml[x,1]]",0.15407299204664596
Mark,The Gospel According to Saint Mark,15192,1666,3039,0.0001,5.668328453504865,5.6547947044483085,5.655359320712099,5.658340204199183,0.00354549975087437,0.0029808834870834744,-0.0036251018570961635,False,"eml[sub[x,1],eml[x,1]]",0.13212926188428056
Luke,The Gospel According to Saint Luke,25992,2373,5174,0.003,5.784545185567679,5.767989120862338,5.766030224743869,5.762955929806017,-0.005033191056321051,-0.003074294937851718,-0.0015528705501435536,False,"eml[sub[x,1],eml[x,1]]",0.17441647631124946
John,The Gospel According to Saint John,19133,1381,3714,0.0001,5.611388837705655,5.545684271925785,5.545101419000399,5.550449799770124,0.004765527844339701,0.005348380769725658,-0.0047390676036345725,False,"eml[sub[x,1],eml[x,1]]",0.1197547971377888
Acts,The Acts of the Apostles,24287,2270,4859,0.001,5.858880920814399,5.845220310705034,5.841072755449626,5.838240957443483,-0.006979353261550969,-0.0028317980061434156,-0.0027149942610591726,False,"eml[sub[x,1],eml[x,1]]",0.13889587193014571
Romans,The Epistle of Paul the Apostle to the Romans,9448,1318,1908,0.03,5.6786755528928206,5.644516850184747,5.649072699321946,5.641308200422953,-0.0032086497617935805,-0.0077644988989922226,0.0007927412677617984,True,"sub[pow[x,x],sqrt[x]]",0.17816800173554925
1 Corinthians,The First Epistle of Paul the Apostle to the Corinthians,9499,1239,1890,0.003,5.5702674667171115,5.543528235514763,5.5486761397348605,5.536140423121464,-0.007387812393298887,-0.012535716613396808,-0.001856043370768029,False,"sub[pow[x,x],sqrt[x]]",0.1634247332131596
2 Corinthians,The Second Epistle of Paul the Apostle to the Corinthians,6087,1031,1198,0.001,5.6699537348193605,5.640218311377557,5.660632178996187,5.639701597901292,-0.0005167134762649184,-0.02093058109489565,-0.0017119474560791659,False,"sub[pow[x,x],sqrt[x]]",0.16150277943736824
Galatians,The Epistle of Paul the Apostle to the Galatians,3101,643,606,0.03,5.354302660075196,5.370999446955853,5.372823662227449,5.354258286032832,-0.016741160923021248,-0.0185653761946174,0.0007244340353329548,True,"sub[pow[x,x],sqrt[x]]",0.19180111717766293
Ephesians,The Epistle of Paul the Apostle to the Ephesians,3034,663,584,0.0003,5.322858402693092,5.320315340530376,5.326898107476542,5.325521093037827,0.005205752507451145,-0.001377014438714852,0.0002600380549939718,True,"sub[pow[x,x],sqrt[x]]",0.17758964486825027
Philippians,The Epistle of Paul the Apostle to the Philippians,2194,553,438,0.003,5.473320174661345,5.473243459339805,5.498163203661604,5.4905632416355905,0.017319782295785124,-0.007599962026013429,-0.007007096329398013,False,"eml[sub[x,1],eml[x,1]]",0.12211898050613583
Colossians,The Epistle of Paul the Apostle to the Colossians,1990,534,402,0.0003,5.452878232600213,5.45459279387366,5.471849188651453,5.472684081912568,0.01809128803890836,0.0008348932611150772,-0.002388479439273894,False,"sub[pow[x,x],sqrt[x]]",0.15777551846085722
1 Thessalonians,The First Epistle of Paul the Apostle to the Thessalonians,1849,456,373,0.01,5.43282609499182,5.440947531773495,5.459896727358473,5.435113847157198,-0.0058336846162969636,-0.024782880201274615,-0.0074255682279007335,False,"eml[sub[x,1],eml[x,1]]",0.12460277697651488
2 Thessalonians,The Second Epistle of Paul the Apostle to the Thessalonians,1033,315,197,0.003,5.095011789744003,5.08540744256724,5.095644837082638,5.075716382826991,-0.00969105974024842,-0.0199284542556466,-0.009442406480901958,False,"eml[sub[x,1],eml[x,1]]",0.12072227810559742
1 Timothy,The First Epistle of Paul the Apostle to Timothy,2256,679,446,0.01,5.6333713881802465,5.628552141810194,5.645096529181855,5.629679917661696,0.0011277758515024772,-0.015416611520159051,-0.0012070284234465822,False,"sub[pow[x,x],sqrt[x]]",0.15786515292276365
2 Timothy,The Second Epistle of Paul the Apostle to Timothy,1677,550,340,0.03,5.503019640965555,5.518853160025445,5.541685522101101,5.504297286422386,-0.014555873603059766,-0.03738823567871563,-0.008146233494685254,False,"eml[sub[x,1],eml[x,1]]",0.11421855701053878
Titus,The Epistle of Paul the Apostle to Titus,906,364,166,0.01,5.574089833203057,5.6130253787438305,5.647944361706752,5.6534494216507145,0.04042404290688406,0.0055050599439621095,-0.0033575590895926766,False,"sub[pow[x,x],sqrt[x]]",0.15219118755379177
Philemon,The Epistle of Paul the Apostle to Philemon,439,193,93,0.01,4.917888725353099,4.906954795076935,4.926522114802227,4.902716326973954,-0.004238468102980342,-0.02380578782827225,-0.014454979368884943,False,"eml[sub[x,1],eml[x,1]]",0.10111595629071707
Hebrews,The Epistle of Paul the Apostle to the Hebrews,6910,1216,1353,0.03,5.778387685724447,5.777726154191565,5.786229656390335,5.782341490855061,0.00461533666349645,-0.00388816553527338,1.574626409545088e-05,True,"sub[pow[x,x],sqrt[x]]",0.16882925142376803
James,The General Epistle of James,2310,672,486,0.03,5.4635238403402635,5.472337682021445,5.4822902909732525,5.463200130395781,-0.009137551625664209,-0.019090160577471593,-0.006963507445316,False,"eml[sub[x,1],eml[x,1]]",0.11630379546481359
1 Peter,The First Epistle General of Peter,2486,679,475,0.003,5.505698507020505,5.516625437042123,5.529669611487814,5.50217829988029,-0.014447137161832657,-0.02749131160752416,-0.005852150331552869,False,"eml[sub[x,1],eml[x,1]]",0.12387767374676159
2 Peter,The Second General Epistle of Peter,1561,514,306,0.003,5.560663687683624,5.562486114436203,5.5758269512342675,5.592783860949584,0.030297746513380908,0.016956909715316826,-0.0011476141608452173,False,"sub[pow[x,x],sqrt[x]]",0.16623141663798915
1 John,The First Epistle General of John,2525,361,522,0.001,4.920778428282203,4.88090605471481,4.887869766744308,4.888071084018764,0.007165029303953574,0.00020131727445527048,-0.0053159548802255985,False,"sub[pow[x,x],sqrt[x]]",0.1661423817696988
2 John,The Second Epistle General of John,305,136,69,0.0001,4.572669794768072,4.5749165102041305,4.586882912796702,4.622679018500105,0.047762508295974726,0.03579610570340286,-0.006864474045525898,False,"sub[pow[x,x],sqrt[x]]",0.17968463737274937
3 John,The Third Epistle General of John,301,159,45,0.01,4.723749920358105,4.7344897871137075,4.746124861961625,4.727531239138907,-0.006958547974800666,-0.018593622822717926,-0.008685763745432618,False,"sub[pow[x,x],sqrt[x]]",0.14247175371337711
Jude,The General Epistle of Jude,614,297,130,0.01,5.350276051978771,5.350276032493109,5.353535780903568,5.406296848450195,0.05602081595708608,0.05276106754662635,-0.012119242610722225,False,"eml[sub[x,1],eml[x,1]]",0.11139282509390314
Revelation,The Revelation of Saint John the Divine,12010,1285,2427,0.0001,5.477965475647691,5.474858113404745,5.47064260890742,5.463715583549262,-0.011142529855483474,-0.006927025358158367,-0.004695736581944443,False,"eml[sub[x,1],eml[x,1]]",0.131744317228351
