corpus,logistic_k,logistic_w,logistic_hit_upper_bound,logistic_hit_lower_bound,tanh_k,tanh_w,tanh_hit_upper_bound,tanh_hit_lower_bound,erf_k,erf_w,erf_hit_upper_bound,erf_hit_lower_bound,algebraic_k,algebraic_w,algebraic_hit_upper_bound,algebraic_hit_lower_bound,arctan_k,arctan_w,arctan_hit_upper_bound,arctan_hit_lower_bound
Complete Sherlock Holmes,73.89168542675036,1.1792209149970776,False,False,362.00247456250554,0.22842309413510095,False,False,368.36384970656593,0.22423629777250428,False,False,352.0369949349269,0.23517426536845,False,False,314.85942395088017,0.26361563903119295,False,False
Jane Eyre,109.9484611508983,1.3680271066348417,False,False,60.71113569268682,2.494731964474168,False,False,55.255355709181515,2.739772699452037,False,False,357.3027727782751,0.4118859175802684,False,False,301.9448643837023,0.4875130581672536,False,False
Dubliners,544.0335474022153,0.11951321226545498,False,False,562.1543840637202,0.11506746242806203,False,False,564.9834120751516,0.1143917716368604,False,False,555.3297441402851,0.11665191530052509,False,False,529.9316508071735,0.12251152949394012,False,False
The Iliad,70.17146734254365,2.090842043217351,False,False,35.472464710983445,4.153013982237304,False,False,34.306345939846835,4.293260132885436,False,False,30.55386240367622,4.795285296168706,False,False,43.186476273741775,3.3546460538405007,False,False
Democracy in America,78.85240399887226,1.5051397165048122,False,False,39.18968731689008,3.0568880491028927,False,False,33.73099739446388,3.549379038209903,False,False,130.07480359527216,0.9125439733681564,False,False,150.99619020320173,0.7822272926103518,False,False
Origin of Species,52.64485518239066,1.7311841998385482,False,False,26.192286735517374,3.505450601606501,False,False,22.733533883169827,4.041397223063149,False,False,25.999152136910283,3.526460940053658,False,False,83.65885237731618,1.0820721499700048,False,False
Wealth of Nations,73.86505543295573,1.7115418663376796,False,False,34.64578456683037,3.6771983897347265,False,False,31.42708055718257,4.055665455344397,False,False,30.808669023837172,4.128891757880757,False,False,161.94426191334128,0.7748273479517349,False,False
Les Miserables,212.62696277152435,1.3364255013986868,False,False,102.3461547297664,2.8091326937029346,False,False,87.37957966088065,3.2814874690107447,False,False,96.48456800141552,2.9855300209311126,False,False,137.7961780868223,2.073443573735753,False,False
Decline and Fall Vol 1,127.54460255685414,1.4578005927070758,False,False,60.137698950363394,3.126645601354654,False,False,52.48920189841751,3.5708193675773168,False,False,55.575834411325765,3.386524987831822,False,False,83.54122259985307,2.2312458708440577,False,False
Emile,121.66406560438284,1.114562987104475,False,False,73.54139935078649,1.8614899979393276,False,False,65.05879537268125,2.1056735773518978,False,False,120.84145938614343,1.1254444631977916,False,False,170.60910302221504,0.790053899708828,False,False
Ulysses,184.34969064106937,1.5405437444926238,False,False,93.77450921263393,3.02978765325691,False,False,85.96378203169493,3.294870165762701,False,False,83.59647378735697,3.3511321943585557,False,False,353.8924306239682,0.7769507442767587,False,False
Collected Poe,68.81341685091834,1.4761188116258228,False,False,37.63032921027141,2.7125557889580567,False,False,32.33115447884932,3.1574741414527048,False,False,39.07271806513032,2.5963171660665942,False,False,104.08543718600818,0.9564696778134774,False,False
