corpus,logistic_bic,logistic_rmse,logistic_k,logistic_w,tanh_bic,tanh_rmse,tanh_k,tanh_w,erf_bic,erf_rmse,erf_k,erf_w,algebraic_bic,algebraic_rmse,algebraic_k,algebraic_w,arctan_bic,arctan_rmse,arctan_k,arctan_w,bic_tanh_minus_logistic,w_tanh_over_2w_logistic_ratio,tanh_calibration_pass,winner_gate,worst_gate,bic_spread
Aesop's Fables,-19391.65345850549,0.10923629983234347,250.7923467255682,0.17154956671636293,-19336.239719091376,0.10992727805001899,305.3020004070761,0.13830740182038742,-19330.0271413374,0.11000501737802618,313.98705982689256,0.13409496196829468,-19346.646755329264,0.10979717563282573,297.8784276184651,0.14209790545813109,-19372.410239937108,0.10947575831304154,250.6131065135433,0.17108850718221605,55.41373941411439,0.40311206978756897,False,logistic,erf,61.62631716809119
Complete Sherlock Holmes,-34530.94033926184,0.10933978842064908,73.89168542675036,1.1792209149970776,-34364.93723684413,0.11050695287733908,362.00247456250554,0.22842309413510095,-34356.95939514459,0.11056335763311012,368.36384970656593,0.22423629777250428,-34387.53400848414,0.11034734582589022,352.0369949349269,0.23517426536845,-34445.22203510151,0.10994092452664227,314.85942395088017,0.26361563903119295,166.00310241770785,0.09685339329979024,False,logistic,erf,173.98094411724742
Jane Eyre,-53882.153406108606,0.11633866685130603,109.9484611508983,1.3680271066348417,-53622.56537761833,0.1175489748382018,60.71113569268682,2.494731964474168,-53752.78389044095,0.11694027591228302,55.255355709181515,2.739772699452037,-53501.81668155448,0.11811623845861734,357.3027727782751,0.4118859175802684,-53572.182352838216,0.11778533658082525,301.9448643837023,0.4875130581672536,259.58802849027416,0.9117991713668836,False,logistic,algebraic,380.33672455412307
Dubliners,-31482.40461876241,0.11031954869440457,544.0335474022153,0.11951321226545498,-31450.23112771157,0.11056779215857163,562.1543840637202,0.11506746242806203,-31441.5584768568,0.11063480392416151,564.9834120751516,0.1143917716368604,-31457.02515163854,0.1105153245060542,555.3297441402851,0.11665191530052509,-31480.0776257544,0.11033748453946439,529.9316508071735,0.12251152949394012,32.17349105084213,0.4814005926494623,False,logistic,erf,40.84614190561115
The Iliad,-54464.34692157983,0.10892884624403172,70.17146734254365,2.090842043217351,-54349.78402138082,0.10943731403699816,35.472464710983445,4.153013982237304,-54476.733899126746,0.10887401049120594,34.306345939846835,4.293260132885436,-54102.250895400546,0.11054406646242838,30.55386240367622,4.795285296168706,-53828.69560815371,0.11178019145283026,43.186476273741775,3.3546460538405007,114.56290019900916,0.9931438856678811,False,erf,arctan,648.0382909730397
Democracy in America,-40143.510145354856,0.11510033698138857,78.85240399887226,1.5051397165048122,-39823.82931458482,0.11709546438388939,39.18968731689008,3.0568880491028927,-39986.240228265655,0.11607757368396032,33.73099739446388,3.549379038209903,-39477.44156858455,0.11929632594396783,130.07480359527216,0.9125439733681564,-39469.37955664338,0.11934803956869482,150.99619020320173,0.7822272926103518,319.68083077003394,1.01548315268748,False,logistic,arctan,674.1305887114795
Origin of Species,-30255.31681824082,0.11061655800082273,52.64485518239066,1.7311841998385482,-30119.743782840556,0.1117106968660078,26.192286735517374,3.505450601606501,-30179.923740684553,0.11122368654026381,22.733533883169827,4.041397223063149,-29955.566467608056,0.11305018434882912,25.999152136910283,3.526460940053658,-29966.797349244713,0.11295804439219795,83.65885237731618,1.0820721499700048,135.5730354002626,1.0124429861170816,False,logistic,algebraic,299.750350632763
Wealth of Nations,-41510.20247540058,0.11150530937019625,73.86505543295573,1.7115418663376796,-41285.41150531051,0.11283547373230443,34.64578456683037,3.6771983897347265,-41408.676593174234,0.11210411951668765,31.42708055718257,4.055665455344397,-41003.3910238339,0.11452674881057318,30.808669023837172,4.128891757880757,-41098.538686053755,0.11395333405781723,161.94426191334128,0.7748273479517349,224.7909700900709,1.0742355948333056,False,logistic,algebraic,506.8114515666821
Les Miserables,-97526.81788121283,0.11623798486874388,212.62696277152435,1.3364255013986868,-96380.18054965847,0.11921417056144054,102.3461547297664,2.8091326937029346,-97007.36725980925,0.11757694042478135,87.37957966088065,3.2814874690107447,-95094.54443203547,0.12264185077831269,96.48456800141552,2.9855300209311126,-94352.79471424237,0.1246641094271078,137.7961780868223,2.073443573735753,1146.6373315543606,1.050987387910112,False,logistic,arctan,3174.0231669704663
Decline and Fall Vol 1,-69537.9170020756,0.11329121717316813,127.54460255685414,1.4578005927070758,-68627.91912162054,0.11656270020042517,60.137698950363394,3.126645601354654,-69138.58174907764,0.11471538488256264,52.48920189841751,3.5708193675773168,-67555.21975371616,0.12054062553436001,55.575834411325765,3.386524987831822,-66860.05743844986,0.1231907252173525,83.54122259985307,2.2312458708440577,909.9978804550628,1.0723845281022288,False,logistic,arctan,2677.859563625738
Emile,-49051.25863508204,0.11100051974248779,121.66406560438284,1.114562987104475,-48646.789868231535,0.11302776989241892,73.54139935078649,1.8614899979393276,-48721.346690354156,0.11265131786099947,65.05879537268125,2.1056735773518978,-48467.60684362551,0.11393765294861882,120.84145938614343,1.1254444631977916,-48432.9854668281,0.11411430121816195,170.60910302221504,0.790053899708828,404.46876685050665,0.8350761776036073,False,logistic,arctan,618.2731682539452
Ulysses,-127892.96922452157,0.11000499468339386,184.34969064106937,1.5405437444926238,-127828.8681347012,0.11012668042710973,93.77450921263393,3.02978765325691,-128146.59353782982,0.10952484621524954,85.96378203169493,3.294870165762701,-127349.09054106337,0.11104174639923649,83.59647378735697,3.3511321943585557,-127292.56084571175,0.11115006335611909,353.8924306239682,0.7769507442767587,64.10108982036763,0.9833500879440353,False,erf,arctan,854.0326921180676
Collected Poe,-40831.21122807734,0.11121130676419595,68.81341685091834,1.4761188116258228,-40661.04261737065,0.11223210763591823,37.63032921027141,2.7125557889580567,-40743.13589674892,0.11173848514142432,32.33115447884932,3.1574741414527048,-40435.908401112625,0.1135970467079997,39.07271806513032,2.5963171660665942,-40493.92607602928,0.11324371865979042,104.08543718600818,0.9564696778134774,170.16861070669256,0.9188135018652058,False,logistic,algebraic,395.3028269647184
Principia Ethica,-17337.905446636407,0.10212293041649939,33.08120080426756,1.4001982835852451,-17319.38495699413,0.10237118220164136,20.000000000000004,2.337446074132841,-17318.157139035204,0.10238766139572078,20.27865417673517,2.3101906492838484,-17289.54985714971,0.10277236668386995,378.9573929296467,0.108062683874689,-17298.148758701314,0.1026565785946436,364.090904128706,0.11283439895704525,18.520489642276516,0.834683952099894,False,logistic,algebraic,48.35558948669859
Critique of Pure Reason,-29595.691282094846,0.10340710309926957,421.9759243523896,0.16928253463202036,-29606.123571630145,0.10332462317307357,20.000000000000004,3.8457523245341316,-29616.345092316173,0.10324387343872876,20.000000000000004,3.8755895022065348,-29531.296682317974,0.10391768017794187,486.8657833731986,0.1449513851431462,-29563.1128773474,0.10366509906543771,450.5691354990315,0.15723650298083977,-10.432289535299788,11.358975492935153,False,erf,algebraic,85.04840999819862
