grid_index,domain_value,sr_x,log_p_emp,log_p_fit,residual
164,2.7364156489910818,0.80737476689030196,-1.9779325971929518,-2.1147355393460683,0.1368029421531165
165,2.7531810410337854,0.80827755839870219,-1.9801485334423787,-2.1215862125298965,0.14143767908751781
166,2.7699464330764889,0.80917489494022332,-1.9824677344001835,-2.1284310198426857,0.14596328544250214
167,2.7867118251191929,0.81006684204058699,-1.9848876143669067,-2.1352700320784441,0.15038241771153738
168,2.8034772171618965,0.81095346405190671,-1.9874051449201364,-2.1421033187572665,0.15469817383713003
169,2.8202426092046,0.81183482418054687,-1.9900168932974946,-2.1489309481557148,0.15891405485822019
170,2.8370080012473036,0.81271098451416257,-1.992719065381211,-2.1557529873363031,0.16303392195509203
171,2.8537733932900071,0.81358200604794395,-1.9955075528291966,-2.1625695021761091,0.16706194934691254
172,2.8705387853327107,0.8144479487100984,-1.9983779838277707,-2.1693805573945513,0.17100257356678061
173,2.8873041773754147,0.81530887138659203,-2.0013257768778301,-2.176186216580354,0.17486043970252396
174,2.9040695694181182,0.81616483194517786,-2.0043461969696734,-2.1829865422177357,0.17864034524806227
175,2.9208349614608218,0.81701588725873697,-2.0074344134536166,-2.1897815957118407,0.18234718225822411
176,2.9376003535035253,0.81786209322795389,-2.0105855588748289,-2.1965714374134429,0.18598587853861392
177,2.9543657455462289,0.81870350480334997,-2.0137947880123268,-2.2033561266429489,0.18956133863062208
178,2.9711311375889324,0.81954017600669515,-2.0170573363446809,-2.2101357217137205,0.19307838536903965
179,2.987896529631636,0.82037215995182056,-2.0203685771597728,-2.2169102799547398,0.19654170279496697
180,3.00466192167434,0.82119950886485216,-2.0237240765326741,-2.2236798577326429,0.19995578119996882
181,3.0214273137170435,0.82202227410388251,-2.0271196454153508,-2.2304445104731379,0.20332486505778702
182,3.0381927057597471,0.82284050617810156,-2.0305513881144539,-2.2372042926818336,0.20665290456737972
183,3.0549580978024506,0.82365425476640286,-2.0340157464780302,-2.2439592579644914,0.20994351148646118
184,3.0717234898451542,0.82446356873548254,-2.0375095391693021,-2.2507094590467243,0.21319991987742215
185,3.0884888818878578,0.82526849615744868,-2.0410299954738851,-2.2574549477931614,0.21642495231927628
186,3.1052542739305613,0.82606908432695536,-2.0445747831655403,-2.2641957752260931,0.21962099206055274
187,3.1220196659732653,0.82686537977787733,-2.0481420300433504,-2.2709319915436113,0.22278996150026087
188,3.1387850580159689,0.82765742829954003,-2.0517303388485915,-2.2776636461372672,0.22593330728867578
189,3.1555504500586724,0.82844527495251974,-2.0553387953708562,-2.2843907876092588,0.22905199223840267
190,3.172315842101376,0.8292289640840258,-2.0589669696579191,-2.2911134637891606,0.23214649413124144
191,3.1890812341440795,0.83000853934287988,-2.062614910351396,-2.2978317217502138,0.23521681139881778
192,3.2058466261867831,0.83078404369410386,-2.0662831322769701,-2.3045456078251898,0.23826247554821967
193,3.2226120182294866,0.831555519433129,-2.0699725975230905,-2.31125516762184,0.24128257009874954
194,3.2393774102721906,0.832323008199637,-2.0736846903427129,-2.3179604460379433,0.24427575569523041
195,3.2561428023148942,0.833086550991047,-2.0774211863073049,-2.3246614872759661,0.24724030096866123
196,3.2729081943575977,0.83384618817565614,-2.0811842162290248,-2.331358334857347,0.25017411862832217
197,3.2896735864003013,0.83460195950544647,-2.0849762254442994,-2.3380510316364136,0.2530748061921142
198,3.3064389784430048,0.83535390412856703,-2.0887999291182995,-2.344739619813951,0.25593969069565148
199,3.3232043704857084,0.83610206060150194,-2.0926582642843425,-2.3514241409504191,0.25876587666607653
200,3.3399697625284124,0.83684646690093401,-2.0965543393738342,-2.3581046359788456,0.26155029660501139
201,3.3567351545711159,0.83758716043531178,-2.1004913820205857,-2.3647811452173899,0.26428976319680419
202,3.3735005466138195,0.83832417805612891,-2.1044726859379934,-2.3714537083815985,0.26698102244360511
203,3.390265938656523,0.83905755606892729,-2.1085015576684674,-2.3781223645963534,0.26962080692788604
204,3.4070313306992266,0.83978733024402719,-2.1125812639920269,-2.3847871524075277,0.27220588841550075
205,3.4237967227419301,0.84051353582699684,-2.1167149807554946,-2.3914481097933553,0.27473312903786073
206,3.4405621147846337,0.84123620754886652,-2.1209057438460857,-2.3981052741755198,0.27719953032943412
207,3.4573275068273377,0.84195537963609546,-2.1251564029840151,-2.4047586824299798,0.27960227944596472
208,3.4740928988700412,0.8426710858202987,-2.1294695789492817,-2.411408370897524,0.28193879194824234
209,3.4908582909127448,0.84338335934774067,-2.1338476247892655,-2.4180543753940826,0.28420675060481715
210,3.5076236829554484,0.84409223298860159,-2.1382925914769886,-2.4246967312207808,0.2864041397437922
211,3.5243890749981519,0.8447977390460254,-2.142806198407107,-2.4313354731737618,0.2885292747666548
212,3.5411544670408555,0.84549990936495101,-2.1473898090282511,-2.4379706355537714,0.29058082652552031
213,3.557919859083559,0.8461987753407394,-2.1520444118188795,-2.4446022521755166,0.29255784035663712
214,3.574685251126263,0.84689436792759498,-2.1567706067198418,-2.451230356376807,0.2944597496569652
215,3.5914506431689666,0.84758671764679328,-2.1615685970427934,-2.4578549810274795,0.2962863839846861
216,3.6082160352116701,0.84827585459471688,-2.1664381867806721,-2.4644761585381167,0.29803797175744462
217,3.6249814272543737,0.84896180845070501,-2.1713787831558777,-2.4710939208685634,0.29971513771268565
218,3.6417468192970772,0.8496446084847239,-2.176389404156251,-2.4777082995362436,0.30131889537999257
219,3.6585122113397808,0.85032428356486112,-2.1814686907286442,-2.4843193256242935,0.30285063489564923
220,3.6752776033824848,0.85100086216464899,-2.1866149232272742,-2.4909270297894985,0.30431210656222429
221,3.6920429954251883,0.85167437237022192,-2.1918260416502444,-2.4975314422700587,0.30570540061981433
222,3.7088083874678919,0.85234484188731341,-2.1970996691436424,-2.5041325928931739,0.30703292374953151
223,3.7255737795105954,0.85301229804809298,-2.2024331382101483,-2.5107305110824583,0.30829737287230996
224,3.742339171553299,0.8536767678178534,-2.2078235190285862,-2.5173252258651893,0.30950170683660305
225,3.7591045635960025,0.85433827780154703,-2.2132676492733014,-2.5239167658793926,0.31064911660609118
226,3.7758699556387061,0.85499685425017768,-2.2187621648181715,-2.5305051593807746,0.31174299456260313
227,3.7926353476814101,0.85565252306705164,-2.2243035307196006,-2.5370904342494915,0.31278690352989091
228,3.8094007397241136,0.85630530981389053,-2.2298880718957661,-2.5436726179967821,0.31378454610101603
229,3.8261661317668172,0.85695523971681187,-2.2355120029556561,-2.550251737771442,0.31473973481578588
230,3.8429315238095207,0.85760233767217742,-2.2411714566797962,-2.5568278203661672,0.31565636368637096
231,3.8596969158522243,0.85824662825231646,-2.2468625107144362,-2.5634008922237514,0.31653838150931524
232,3.8764623078949279,0.85888813571112443,-2.2525812121103472,-2.5699709794431547,0.31738976733280744
233,3.8932276999376314,0.85952688398954091,-2.2583235994153528,-2.5765381077854368,0.31821450837008403
234,3.9099930919803354,0.86016289672091184,-2.2640857221132746,-2.5831023026795674,0.31901658056629278
235,3.926758484023039,0.86079619723623491,-2.2698636572902537,-2.589663589228107,0.31979993193785328
236,3.9435238760657425,0.86142680856929688,-2.2756535234985829,-2.5962219922127723,0.32056846871418943
237,3.9602892681084461,0.86205475346169835,-2.2814514918774695,-2.6027775360998797,0.32132604422241018
238,3.9770546601511496,0.86268005436777684,-2.2872537946754674,-2.6093302450456735,0.32207645037020605
239,3.9938200521938532,0.86330273345942288,-2.293056731400072,-2.6158801429015459,0.32282341150147387
240,4.0105854442365567,0.86392281263079873,-2.2988566728922133,-2.6224272532191435,0.3235705803269302
241,4.0273508362792603,0.86454031350295701,-2.3046500636866298,-2.6289715992553684,0.32432153556873855
242,4.0441162283219638,0.86515525742836386,-2.3104334230704269,-2.6355132039772791,0.32507978090685219
243,4.0608816203646674,0.8657676654953298,-2.3162033452910982,-2.6420520900668825,0.32584874477578429
244,4.0776470124073709,0.86637755853234955,-2.3219564993899513,-2.6485882799258365,0.32663178053588515
245,4.0944124044500745,0.86698495711235124,-2.3276896291472502,-2.6551217956800461,0.32743216653279594
246,4.111177796492778,0.86758988155686156,-2.3333995536209668,-2.6616526591841749,0.32825310556320808
247,4.1279431885354816,0.86819235194008548,-2.3390831687418236,-2.6681808920260579,0.32909772328423426
248,4.1447085805781851,0.86879238809290216,-2.3447374503940241,-2.6747065155310303,0.32996906513700619
249,4.1614739726208887,0.86939000960678281,-2.3503594593648138,-2.681229550766163,0.33087009140134915
250,4.1782393646635922,0.86998523583762888,-2.3559463484875294,-2.6877500185444179,0.33180367005688849
251,4.1950047567062967,0.87057808590953301,-2.361495372234379,-2.6942679394287188,0.33277256719433979
252,4.2117701487490002,0.87116857871846631,-2.3670038989380187,-2.7007833337359388,0.33377943479792016
253,4.2285355407917038,0.87175673293589229,-2.3724694257376906,-2.7072962215408127,0.33482679580312213
254,4.2453009328344073,0.87234256701230894,-2.377889596257996,-2.7138066226797672,0.33591702642177124
255,4.2620663248771109,0.87292609918072206,-2.3832622209390895,-2.7203145567546794,0.33705233581558991
256,4.2788317169198145,0.87350734746005054,-2.3885852998479669,-2.7268200431365592,0.33823474328859238
257,4.295597108962518,0.87408632965846433,-2.3938570477145693,-2.7333231009691623,0.339466053254593
258,4.3123625010052216,0.874663063376658,-2.3990759208551999,-2.7398237491725279,0.34074782831732797
259,4.3291278930479251,0.87523756601106284,-2.4042406455718917,-2.7463220064464546,0.34208136087456298
260,4.3458932850906287,0.87580985475699369,-2.4093502475515254,-2.7528178912739039,0.34346764372237848
261,4.3626586771333322,0.87637994661173746,-2.4144040817341819,-2.7593114219243384,0.34490734019015656
262,4.3794240691760358,0.87694785837758293,-2.4194018620783395,-2.7658026164570013,0.3464007543786618
263,4.3961894612187393,0.87751360666479183,-2.4243436906215621,-2.7722914927241242,0.34794780210256215
264,4.4129548532614438,0.8780772078945136,-2.429230085220178,-2.7787780683740833,0.34954798315390523
265,4.4297202453041473,0.87863867830164588,-2.4340620053509818,-2.7852623608544884,0.35120035550350659
266,4.4464856373468509,0.87919803393764007,-2.438840875371215,-2.7917443874152195,0.3529035120440045
267,4.4632510293895544,0.87975529067325486,-2.4435686046604808,-2.7982241651113999,0.35465556045091917
268,4.480016421432258,0.88031046420125836,-2.4482476041086723,-2.804701710806321,0.35645410669764876
269,4.4967818134749615,0.88086357003907978,-2.4528807984664276,-2.8111770411743056,0.35829624270787797
270,4.5135472055176651,0.88141462353141176,-2.4574716341375864,-2.8176501727035195,0.36017853856593307
271,4.5303125975603686,0.8819636398527646,-2.4620240820652581,-2.8241211216987376,0.3620970396334795
272,4.5470779896030722,0.88251063400997387,-2.4665426354422761,-2.8305899042840483,0.36404726884177219
273,4.5638433816457757,0.88305562084466127,-2.471032302061027,-2.8370565364055165,0.3660242343444895
274,4.5806087736884793,0.88359861503565151,-2.4754985912051084,-2.8435210338337926,0.36802244262868422
275,4.5973741657311828,0.88413963110134386,-2.4799474950735725,-2.8499834121666785,0.37003591709310601
276,4.6141395577738864,0.88467868340204214,-2.4843854648156705,-2.8564436868316418,0.37205822201597138
277,4.63090494981659,0.8852157861422415,-2.4888193813382196,-2.8629018730882878,0.37408249175006825
278,4.6476703418592944,0.88575095337287413,-2.4932565211269662,-2.8693579860307876,0.37610146490382146
279,4.6644357339019979,0.88628419899351507,-2.4977045173961425,-2.8758120405902581,0.37810752319411556
280,4.6812011259447015,0.88681553675454838,-2.5021713169455841,-2.8822640515371045,0.38009273459152038
281,4.6979665179874051,0.88734498025929431,-2.506665133160916,-2.8887140334833168,0.3820489003224008
282,4.7147319100301086,0.88787254296609985,-2.511194395639055,-2.8951620008847287,0.38396760524567375
283,4.7314973020728122,0.88839823819038999,-2.5157676969578544,-2.901607968043233,0.38584027108537855
284,4.7482626941155157,0.88892207910668597,-2.5203937371351266,-2.9080519491089607,0.3876582119738341
285,4.7650280861582193,0.88944407875058551,-2.525081266338681,-2.9144939580824203,0.38941269174373927
286,4.7817934782009228,0.88996425002070856,-2.5298390264156323,-2.9209340088166007,0.39109498240096841
287,4.7985588702436264,0.89048260568061111,-2.534675691806707,-2.9273721150190362,0.39269642321232912
288,4.8153242622863299,0.89099915836066368,-2.5395998104008548,-2.9338082902538329,0.39420847985297813
289,4.8320896543290335,0.89151392055989709,-2.5446197448671612,-2.9402425479436678,0.39562280307650655
290,4.848855046371737,0.89202690464781931,-2.5497436149770802,-2.9466749013717441,0.39693128639466391
291,4.8656204384144415,0.8925381228661966,-2.5549792414005226,-2.9531053636837186,0.39812612228319599
292,4.882385830457145,0.89304758733080769,-2.5603340914262236,-2.9595339478895939,0.39919985646337031
293,4.8991512224998486,0.89355531003316668,-2.5658152270206882,-2.9659606668655796,0.40014543984489137
294,4.9159166145425521,0.89406130284221597,-2.5714292556024874,-2.9723855333559168,0.40095627775342946
295,4.9326820065852557,0.89456557750599175,-2.5771822838703242,-2.9788085599746807,0.40162627610435653
296,4.9494473986279592,0.89506814565326009,-2.5830798749853412,-2.9852297592075439,0.40214988422220266
297,4.9662127906706628,0.89556901879512663,-2.5891270093714738,-2.9916491434135128,0.40252213404203907
298,4.9829781827133663,0.89606820832661793,-2.5953280493624651,-2.9980667248266379,0.40273867546417286
299,4.9997435747560699,0.8965657255282371,-2.6016867078915951,-3.0044825155576893,0.40279580766609424
300,5.0165089667987735,0.8970615815674936,-2.6082060213901603,-3.0108965275958113,0.40269050620565094
301,5.033274358841477,0.89755578750040765,-2.6148883270335648,-3.0173087728101411,0.40242044577657632
302,5.0500397508841806,0.89804835427298813,-2.6217352444497157,-3.0237192629514098,0.40198401850169407
303,5.0668051429268841,0.89853929272268851,-2.6287476619829171,-3.0301280096535086,0.4013803476705915
304,5.0835705349695877,0.89902861357983721,-2.6359257275876815,-3.0365350244350342,0.40060929684735269
305,5.1003359270122921,0.89951632746904442,-2.6432688444098966,-3.0429403187008073,0.39967147429091066
306,5.1171013190549957,0.9000024449105869,-2.6507756710977928,-3.0493439037433654,0.39856823264557262
307,5.1338667110976992,0.90048697632176911,-2.6584441268708754,-3.055745790744433,0.39730166387355759
308,5.1506321031404028,0.90096993201826303,-2.6662714013611319,-3.0621459907763655,0.39587458941523357
309,5.1673974951831063,0.90145132221542634,-2.6742539692264713,-3.0685445148035715,0.39429054557710019
310,5.1841628872258099,0.90193115702959703,-2.6823876095208563,-3.0749413736839126,0.39255376416305632
311,5.2009282792685134,0.90240944647937149,-2.6906674297880731,-3.081336578170077,0.39066914838200395
312,5.217693671311217,0.90288620048685841,-2.6990878948259067,-3.0877301389109348,0.38864224408502812
313,5.2344590633539205,0.90336142887891335,-2.7076428600440443,-3.0941220664528712,0.38647920640882694
314,5.2512244553966241,0.90383514138835519,-2.7163256093115269,-3.1005123712410958,0.38418676192956891
315,5.2679898474393276,0.9043073476551613,-2.7251288971581973,-3.1069010636209322,0.38177216646273493
316,5.2847552394820312,0.90477805722764504,-2.7340449951583441,-3.1132881538390906,0.37924315868074654
317,5.3015206315247347,0.90524727956361395,-2.7430657422843292,-3.1196736520449138,0.37660790976058456
318,5.3182860235674392,0.90571502403151072,-2.7521825989731998,-3.1260575682916079,0.37387496931840802
319,5.3350514156101427,0.90618129991153418,-2.7613867046007767,-3.1324399125374538,0.37105320793667707
320,5.3518168076528463,0.90664611639674542,-2.7706689380061231,-3.1388206946469976,0.36815175664087452
321,5.3685821996955498,0.90710948259415458,-2.7800199806557448,-3.1451999243922222,0.36517994373647733
