slug,name,cutoff,winner,zipf,zm,moe,softk,softk_minus_moe,softk_minus_zm,step2_help,step2_gain
grimms_fairy_tales,Grimm's Fairy Tales,top100,zm,4.64526343641277,4.5415687791666945,4.548900496877882,4.557413079365721,0.008512582487838927,0.01584430019902605,0,-0.013546730268754192
grimms_fairy_tales,Grimm's Fairy Tales,top200,softk,5.026566569042341,4.912429719274276,4.900171433955745,4.891388818467554,-0.008782615488191148,-0.02104090080672183,0,-0.006478556442755565
grimms_fairy_tales,Grimm's Fairy Tales,top500,softk,5.43519422913028,5.332953496890163,5.306984750543116,5.294670314267547,-0.012314436275568497,-0.03828318262261554,0,-0.0042090397702838345
grimms_fairy_tales,Grimm's Fairy Tales,top1000,softk,5.709966825674634,5.626605717552336,5.599285156397153,5.591598388897545,-0.0076867674996083935,-0.035007328654791614,0,-0.0025107049177664487
grimms_fairy_tales,Grimm's Fairy Tales,full,softk,6.128784795037904,6.088523680073925,6.077646160664019,6.077603811556091,-4.2349107927996954e-05,-0.010919868517833997,0,-0.0004983982554198074
don_quixote,Don Quixote,top50,zm,4.38335904383722,4.295361115266339,4.337605761670451,4.303016836120531,-0.03458892554991966,0.007655720854192083,0,-0.009899332058060567
don_quixote,Don Quixote,top100,zm,4.743061839623665,4.61212836831963,4.64031125966066,4.622130935768978,-0.01818032389168156,0.010002567449348021,0,-0.023129946934353093
don_quixote,Don Quixote,top200,zm,5.067623869253,4.920237830875505,4.931336929165749,4.93243447125883,0.0010975420930812163,0.012196640383325352,0,-0.014653249568279361
don_quixote,Don Quixote,top500,moe,5.459825717352129,5.314752812022188,5.307410846771591,5.32331501646149,0.015904169689899383,0.008562204439302334,0,-0.013330576566181862
don_quixote,Don Quixote,top1000,moe,5.740769074289566,5.6082921736551965,5.592760068405524,5.6078847065537225,0.015124638148198422,-0.00040746710147399057,0,-0.01014751218493954
don_quixote,Don Quixote,full,zm,6.5561671213110975,6.496279797495423,6.49630277625205,6.496925073059477,0.0006222968074265367,0.0006452755640538044,0,-0.0013981574011522058
pride_and_prejudice,Pride and Prejudice,top50,zm,4.515950727443694,4.382694209325181,4.430041731448635,4.392866911723738,-0.03717481972489711,0.010172702398556943,0,-0.03807156834902291
pride_and_prejudice,Pride and Prejudice,top100,zm,4.872232354398044,4.691168709404083,4.722742261909364,4.704670236458209,-0.01807202545115505,0.01350152705412544,0,-0.03216884675678921
pride_and_prejudice,Pride and Prejudice,top200,zm,5.192640897342903,4.997719183981026,5.010428236970967,5.01205621278683,0.0016279758158628255,0.01433702880580423,0,-0.021947958016433122
pride_and_prejudice,Pride and Prejudice,top500,moe,5.589816339160072,5.408421633777384,5.4020102883492305,5.413024929664562,0.011014641315331808,0.004603295887178227,0,-0.01901726082475582
pride_and_prejudice,Pride and Prejudice,top1000,moe,5.8631571145811,5.7056722677428215,5.693387098104993,5.697791335656536,0.0044042375515429555,-0.007880932086285597,0,-0.016664097056849188
pride_and_prejudice,Pride and Prejudice,full,zm,6.413204348135392,6.332858287664597,6.338649310626814,6.336783021894429,-0.0018662887323852573,0.003924734229832083,0,-0.0026861175930713577
canterbury_tales,Canterbury Tales,top50,zm,4.4333046681504396,4.354996812738518,4.410433812060124,4.363435401391959,-0.04699841066816557,0.008438588653440604,0,-0.04276187974862321
canterbury_tales,Canterbury Tales,top100,zm,4.794138776626341,4.677062784269737,4.718763879693407,4.690907545644896,-0.0278563340485114,0.013844761375158221,0,-0.0332497815840083
canterbury_tales,Canterbury Tales,top200,zm,5.116165789671594,4.9832951046175635,5.007957600760369,4.999395894451292,-0.008561706309076378,0.016100789833728868,0,-0.023959859299125683
canterbury_tales,Canterbury Tales,top500,zm,5.526428468021393,5.393496699456239,5.397481997390814,5.4035717670997725,0.006089769708958137,0.010075067643533053,0,-0.019720765542306035
canterbury_tales,Canterbury Tales,top1000,moe,5.832820790474564,5.710026913159464,5.703064491589429,5.709678411706843,0.006613920117414018,-0.0003485014526205532,0,-0.01593414155685373
canterbury_tales,Canterbury Tales,full,zm,6.850582452091423,6.803568686885705,6.812278605191087,6.806097442244247,-0.006181162946839791,0.002528755358541801,0,-0.0011308453724043765
arabian_nights_vol1,Arabian Nights (Vol 1),top50,zm,4.278869424997023,4.237089044286273,4.2720248130887795,4.257229851581542,-0.01479496150723758,0.02014080729526846,0,-0.014047847019555582
arabian_nights_vol1,Arabian Nights (Vol 1),top100,zm,4.623807848851472,4.558253291975097,4.580145016806261,4.580894323970699,0.0007493071644377736,0.022641031995601857,1,0.0023796617702514233
arabian_nights_vol1,Arabian Nights (Vol 1),top200,zm,4.961560002891899,4.885939349298391,4.89313519718516,4.904636021447918,0.011500824262758336,0.018696672149527416,0,-0.008158220329615523
arabian_nights_vol1,Arabian Nights (Vol 1),top500,moe,5.393403692943568,5.31792758891626,5.309031134802197,5.32199713136506,0.012965996562862792,0.004069542448799979,0,-0.009461327367524607
arabian_nights_vol1,Arabian Nights (Vol 1),top1000,moe,5.708190976219401,5.639690189352204,5.623506106346747,5.630730772768383,0.007224666421635995,-0.008959416583820712,0,-0.007558354158444289
arabian_nights_vol1,Arabian Nights (Vol 1),full,zm,6.706085717676725,6.685473211034842,6.68667142363636,6.687754725961309,0.0010833023249485763,0.0022815149264667767,1,0.0011603129084946096
aesops_fables,Aesop's Fables,top50,zm,4.100209181726576,4.071128251360304,4.087679097432396,4.097076033506537,0.009396936074140605,0.025947782146232612,0,-0.03749340268782514
aesops_fables,Aesop's Fables,top100,zm,4.497522420113506,4.4541784657277965,4.456116010054979,4.456033976757518,-8.203329746070409e-05,0.0018555110297215904,0,-0.02309785772290343
aesops_fables,Aesop's Fables,top200,softk,4.839187970431209,4.792808348389998,4.783487865889819,4.776996046426674,-0.006491819463144921,-0.01581230196332406,0,-0.01754782653989101
aesops_fables,Aesop's Fables,top500,softk,5.235152478903753,5.193728225495312,5.176542419805529,5.171919281324822,-0.004623138480707389,-0.021808944170490285,0,-0.0028608500998972344
aesops_fables,Aesop's Fables,top1000,softk,5.5238297143297705,5.490185336783799,5.472250850168901,5.4719533799604125,-0.0002974702084888037,-0.018231956823386852,0,-0.009838847535016973
aesops_fables,Aesop's Fables,full,softk,6.226453453821152,6.221750903154405,6.22365870317628,6.22074737680541,-0.0029113263708699932,-0.0010035263489944768,0,-0.0015259890005038523
complete_sherlock_holmes,Complete Sherlock Holmes,top50,softk,4.394061064481104,4.296341049221136,4.340940967035025,4.29551713723951,-0.0454238297955154,-0.0008239119816257912,0,-0.02283579242248064
complete_sherlock_holmes,Complete Sherlock Holmes,top100,zm,4.757326658972315,4.624720883148024,4.654490528149713,4.629554399589969,-0.024936128559744475,0.004833516441944852,0,-0.026297317923273902
complete_sherlock_holmes,Complete Sherlock Holmes,top200,zm,5.0703397145341444,4.928433900670632,4.9420123554023,4.937827440020989,-0.0041849153813107165,0.009393539350356583,0,-0.021679067766102185
complete_sherlock_holmes,Complete Sherlock Holmes,top500,moe,5.454007412698273,5.319954550730808,5.316867971205799,5.3273666564599935,0.01049868525419484,0.007412105729185825,0,-0.017226335348098712
complete_sherlock_holmes,Complete Sherlock Holmes,top1000,moe,5.729974499069209,5.611588676876511,5.602143567903294,5.611020756191627,0.008877188288333393,-0.0005679206848832052,0,-0.015491366534688751
complete_sherlock_holmes,Complete Sherlock Holmes,full,zm,6.493105179966957,6.447377412310836,6.456988589888799,6.453747597117771,-0.003240992771027962,0.006370184806935519,1,0.00019275310219099562
jane_eyre,Jane Eyre,top50,zm,4.406198144505625,4.320338945439086,4.373998816591715,4.322309888738684,-0.05168892785303125,0.00197094329959846,0,-0.025512487995971972
jane_eyre,Jane Eyre,top100,zm,4.7467861237984055,4.629351813279925,4.669424099716036,4.638581328098644,-0.030842771617392017,0.009229514818718698,0,-0.027504838600287337
jane_eyre,Jane Eyre,top200,zm,5.078927608534253,4.9491250410047885,4.971967002858252,4.963259467278252,-0.00870753557999926,0.014134426273463951,0,-0.0215925146475429
jane_eyre,Jane Eyre,top500,zm,5.488930569113539,5.362293926149837,5.365820417448948,5.372723593329331,0.006903175880383472,0.010429667179494118,0,-0.01018614708620421
jane_eyre,Jane Eyre,top1000,moe,5.769945471792824,5.654465841232766,5.6493550421254906,5.655976858208183,0.006621816082692078,0.001511016975416446,0,-0.010263797989145583
jane_eyre,Jane Eyre,full,zm,6.685153958211458,6.639198902037371,6.649150527735459,6.642788574812209,-0.006361952923249703,0.00358967277483746,0,-0.0016077082842209933
dubliners,Dubliners,top50,zm,4.346071015583651,4.278453551061081,4.319101864530301,4.290075291147845,-0.029026573382456178,0.011621740086764198,0,-0.027186583367430975
dubliners,Dubliners,top100,zm,4.691001184081959,4.598745913958304,4.625485768788617,4.614098915499791,-0.01138685328882616,0.01535300154148711,0,-0.025560351647256452
dubliners,Dubliners,top200,zm,5.035190815041345,4.9346211111423015,4.9452085405346144,4.94693985486776,0.0017313143331456615,0.012318743725458603,0,-0.023338236913435152
dubliners,Dubliners,top500,moe,5.482996714484144,5.388535689064829,5.381825383310639,5.386909615513285,0.005084232202645644,-0.0016260735515443159,0,-0.018238312775552296
dubliners,Dubliners,top1000,moe,5.774889632930244,5.692450223577021,5.67987342893198,5.681788315993398,0.001914887061417403,-0.010661907583623176,0,-0.013746719527685573
dubliners,Dubliners,full,zm,6.541972737895993,6.5140093492139535,6.521278476962053,6.517051665375395,-0.004226811586657497,0.0030423161614416827,1,0.0011538479227290455
the_iliad,The Iliad,top50,zm,4.167422725603836,4.164017150050151,4.20981568179175,4.241032020687202,0.031216338895451834,0.07701487063705059,0,-0.03540629470362973
the_iliad,The Iliad,top100,zm,4.557814160124749,4.540503572504167,4.562007881982552,4.610615437205321,0.04860755522276872,0.07011186470115405,0,-0.02660328259020693
the_iliad,The Iliad,top200,zm,4.940331354002146,4.916191166818482,4.916699323713641,4.9636045533785405,0.046905229664899295,0.047413386560058335,0,-0.020413198136067172
the_iliad,The Iliad,top500,moe,5.494200959931881,5.468193332848624,5.4467695199950885,5.464059593346388,0.017290073351299284,-0.004133739502235834,0,-0.016452935085412734
the_iliad,The Iliad,top1000,softk,5.8907672399158235,5.867516865495311,5.83814673777768,5.825681315481556,-0.012465422296124018,-0.041835550013755274,0,-0.013503604095905154
the_iliad,The Iliad,full,softk,6.895521366908629,6.890807298983179,6.883404881675385,6.879693438081945,-0.0037114435934402223,-0.011113860901234673,0,-0.0013858788785054421
democracy_in_america,Democracy in America,top50,zm,3.936767648557176,3.924322321892648,3.942937301570303,3.967534491723989,0.02459719015368611,0.04321216983134102,0,-0.02194303982545058
democracy_in_america,Democracy in America,top100,zm,4.307350396736521,4.286075644891367,4.291246323009308,4.325092625120179,0.03384630211087103,0.03901698022881206,1,0.019561143848385337
democracy_in_america,Democracy in America,top200,moe,4.635839505933964,4.611443452629524,4.606495777520821,4.63628862190883,0.029792844388008888,0.024845169279306134,0,-0.0038750139107646825
democracy_in_america,Democracy in America,top500,moe,5.104789810775068,5.081340021906887,5.066923370333473,5.075061756233105,0.008138385899632006,-0.006278265673781647,0,-0.005993989019589169
democracy_in_america,Democracy in America,top1000,softk,5.465769093565166,5.445947473254305,5.428833733925922,5.4183005242672415,-0.01053320965868032,-0.02764694898706388,1,0.008053200343763361
democracy_in_america,Democracy in America,full,softk,6.3184319916345855,6.314583858753442,6.311806433399232,6.311611212604429,-0.00019522079480260857,-0.0029726461490131584,0,-0.0013453984406848196
origin_of_species,Origin of Species,top50,zm,4.2394148233091755,4.198143009912232,4.235080845002977,4.251374707143812,0.01629386214083528,0.05323169723158028,0,-0.010592110439020891
origin_of_species,Origin of Species,top100,zm,4.603668426482107,4.53683458397076,4.553332597779077,4.5843649377945646,0.031032340015487492,0.047530353823804994,0,-0.008196372260954432
origin_of_species,Origin of Species,top200,moe,4.959016636648633,4.882832154872222,4.879783981318991,4.910467626726879,0.030683645407887816,0.027635471854656757,0,-0.014021039941777669
origin_of_species,Origin of Species,top500,moe,5.452972107773432,5.381552580021853,5.3593221801652,5.366931273364299,0.007609093199099526,-0.014621306657553568,0,-0.012969517565818198
origin_of_species,Origin of Species,top1000,softk,5.789826915823499,5.7301946685019605,5.703184935404163,5.690652972846237,-0.01253196255792588,-0.039541695655723075,0,-0.006161191326489672
origin_of_species,Origin of Species,full,moe,6.406563746147002,6.383434243183849,6.374942420183649,6.375321709061686,0.00037928887803762024,-0.008112534122163062,0,-0.0016455215170733117
wealth_of_nations,Wealth of Nations,top50,zm,3.9993587762792315,3.974646657080133,4.010273821621044,4.0462551388808965,0.03598131725985265,0.07160848180076362,0,-0.02109398727871234
wealth_of_nations,Wealth of Nations,top100,zm,4.429189766193421,4.378358822772827,4.3883940173803495,4.428306871769982,0.0399128543896321,0.04994804899715444,1,0.004589596891796416
wealth_of_nations,Wealth of Nations,top200,moe,4.810767261282757,4.750699482715517,4.740369100040931,4.763639399848254,0.023270299807322203,0.012939917132736234,0,-0.00329649039350223
wealth_of_nations,Wealth of Nations,top500,softk,5.282003205933651,5.2246138123960995,5.19752565762183,5.1875610825932,-0.009964575028629241,-0.03705272980289909,0,-0.004619192977614761
wealth_of_nations,Wealth of Nations,top1000,softk,5.600588765059706,5.551798845304026,5.520873768904871,5.4957593476285735,-0.025114421276297705,-0.05603949767545213,1,0.005774408804989695
wealth_of_nations,Wealth of Nations,full,softk,6.195766995601775,6.175560092867926,6.161544629142846,6.155611767747408,-0.005932861395438138,-0.019948325120517474,0,-0.0007826936887813107
les_miserables,Les Miserables,top50,zm,4.269161916223064,4.230606733024641,4.273720056177259,4.247728833670128,-0.025991222507131262,0.017122100645487137,0,-0.025060965926536158
les_miserables,Les Miserables,top100,zm,4.606742294283906,4.541211492317712,4.570927291317201,4.566397708240042,-0.004529583077158783,0.02518621592233039,0,-0.02711188669736672
les_miserables,Les Miserables,top200,zm,4.941220583186824,4.862696876232594,4.876593169238623,4.891137863591157,0.01454469435253447,0.028440987358563596,0,-0.01687842787218241
les_miserables,Les Miserables,top500,moe,5.377220133797875,5.295805111881646,5.291117284737402,5.315326726089729,0.024209441352326166,0.019521614208082738,0,-0.003114324454891751
les_miserables,Les Miserables,top1000,moe,5.695424531815359,5.619380925895356,5.605301244472779,5.622260571087709,0.016959326614930603,0.002879645192352953,0,-0.00605829707405553
les_miserables,Les Miserables,full,moe,6.8275718271667,6.802444035183806,6.800381977779332,6.801859574689947,0.0014775969106146647,-0.0005844604938589626,0,-0.0013088766963406384
decline_and_fall_vol1,Decline and Fall Vol 1,top50,zm,3.8786551158119473,3.8784557993075452,3.887168164326155,3.9063197239025853,0.019151559576430444,0.027863924595040057,0,-0.014130225363536253
decline_and_fall_vol1,Decline and Fall Vol 1,top100,zm,4.205491462818591,4.2049714028330705,4.207124908003498,4.245989250825304,0.03886434282180673,0.04101784799223385,0,-0.018052255094962208
decline_and_fall_vol1,Decline and Fall Vol 1,top200,moe,4.554060788778424,4.553363031613308,4.550178834886374,4.5975674279503185,0.047388593063944384,0.0442043963370109,0,-0.007182314718062605
decline_and_fall_vol1,Decline and Fall Vol 1,top500,moe,5.020728802757466,5.019983249961774,5.012382712569932,5.048017261241689,0.03563454867175775,0.02803401127991556,0,-0.009536351069770237
