slug,name,winner_test,winner_bic,free_test_avg_nll,fixed_k_test_avg_nll,fixed_kw_test_avg_nll,free_bic,fixed_k_bic,fixed_kw_bic,free_rmse,fixed_k_rmse,fixed_kw_rmse,free_step2_gain,fixed_k_step2_gain,fixed_kw_step2_gain,fixed_k_transition_fraction,fixed_kw_transition_fraction
complete_sherlock_holmes,Complete Sherlock Holmes,fixed_kw,free,6.457764777704256,6.4538267111255285,6.4456284790879455,1082531.853880388,1082549.3476820788,1083316.7591256336,0.11557870599950891,0.1642071019066621,0.16969297705552175,-0.0024625705016284305,-0.0006844993348397721,-0.0007887193907169798,0.5214222874468111,0.5214222874468111
jane_eyre,Jane Eyre,fixed_kw,free,6.6441230025201,6.644192970596715,6.634599087796258,2013070.5256010357,2013195.6544851365,2014446.4835132544,0.1329763190429603,0.15333660664402116,0.21212775613468665,-0.0014136422844864271,-0.0014830531900907884,2.8376132900076456e-06,0.521422287446811,0.521422287446811
dubliners,Dubliners,fixed_kw,free,6.550685188767153,6.51721815836002,6.511115752788275,715844.7485784143,715973.7522980834,716170.1349610925,0.11350836665101455,0.16903175727730196,0.1566337850823083,-0.002642482304680255,0.0010998936436495688,0.00014858211305410207,0.5214222874468109,0.5214222874468109
the_iliad,The Iliad,fixed_kw,free,6.880023653882432,6.879755294510447,6.873835236247197,2140929.024477279,2140932.841737256,2142530.115611318,0.1610656827357911,0.16284602902576734,0.20940939399368563,-0.0014545179579809886,-0.0013125668475314212,-0.0002481064001509381,0.5214222874468111,0.5214222874468111
democracy_in_america,Democracy in America,fixed_kw,free,6.316106312812377,6.3128292234156484,6.310677219360947,1878541.1351209537,1879254.3223701539,1880993.3967040672,0.14849719351476767,0.1695674397123612,0.26281482256342714,-0.0016007846025215544,-0.0013497226972511156,0.022607871977671196,0.521422287446811,0.521422287446811
origin_of_species,Origin of Species,fixed_k,free,6.375771827312974,6.3753999062365985,6.3760351217041,1584849.374071741,1584877.7881159005,1586103.961024071,0.14187448517318013,0.1514763788251539,0.22027748970226751,-0.0021035848253423417,-0.001751813323686735,-0.0005647116809872621,0.5214222874468111,0.5214222874468111
wealth_of_nations,Wealth of Nations,free,free,6.15558639363369,6.156624076111844,6.156506381875051,3738880.445603954,3739001.7330690683,3741713.4688725015,0.19949666046253975,0.15726012736396486,0.339720826390905,-0.0006169353925083998,-0.001566999572470723,0.0805188683722185,0.521422287446811,0.521422287446811
les_miserables,Les Miserables,fixed_k,free,6.8027470721870085,6.802485482574599,6.803990009042599,6227450.647865085,6227877.317092678,6240198.976401757,0.1249378961369328,0.15967152620552388,0.44968337722881035,-0.0009508822706279368,-0.001150573460542731,0.08474395595328393,0.521422287446811,0.521422287446811
decline_and_fall_vol1,Decline and Fall Vol 1,fixed_kw,free,6.718567313339342,6.717887503162098,6.712760645751575,2798480.700657491,2798697.977060006,2802400.695304624,0.18342381524500528,0.1824677722396107,0.2741576055415302,0.0004243674817353271,0.00010940106331247534,0.0176395308283796,0.521422287446811,0.521422287446811
emile,Emile,fixed_kw,free,6.491234477539037,6.490527423739745,6.487435695829751,2603103.484211941,2603250.6277754926,2606697.598585521,0.161567390849793,0.160729935231362,0.26203910358036453,-0.0006524355220028366,-0.0012890547431828048,0.03158709725375286,0.5214222874468109,0.5214222874468109
ulysses,Ulysses,fixed_kw,free,7.35632114526539,7.353073410020209,7.336532921037612,3142687.4986199443,3142941.482543533,3147099.927401155,0.12576257199680752,0.17847646909536427,0.24474340063698255,-0.0011897530925792377,0.0020936802153609657,0.0019115445135515496,0.521422287446811,0.521422287446811
collected_poe,Collected Poe,fixed_kw,free,6.682485663276571,6.671851093916935,6.660085235683125,971116.7377864906,971217.0460250261,972060.3477301958,0.10637976123745464,0.1644263637720337,0.18051758881296479,-0.0026774509831055116,-0.0014986048662198603,-0.0004774766245254358,0.521422287446811,0.521422287446811
principia_ethica,Principia Ethica,fixed_kw,free,5.91070755829383,5.910689594738049,5.910473929821444,930391.5631536547,930399.0599521907,930427.7556672825,0.1117420860316067,0.1623178421401513,0.1618025041086183,-0.0030965196567836334,-0.0016356804868936925,-0.001775757887279683,0.521422287446811,0.521422287446811
critique_of_pure_reason,Critique of Pure Reason,fixed_kw,free,5.953364176700566,5.953297649520158,5.952324746999533,1975613.4514501907,1975672.4392167185,1976232.5054753926,0.11440246310297181,0.16194728792091923,0.17970606210691137,-0.0023698710684540575,-0.0019154565693191572,-0.00016748739660082945,0.521422287446811,0.521422287446811
