slug,corpus,gate_family,seed,a1,b1,c1,a2,b2,c2,k,w_gate,w_tail,BIC,final_rmse,k_hit_lower_bound,k_hit_upper_bound,w_gate_hit_lower_bound,w_gate_hit_upper_bound,w_tail_hit_lower_bound,w_tail_hit_upper_bound,any_bounds_hit,best_start_index,best_nfev,wall_clock_seconds,peak_memory_mb,starts_within_1_bic,optimizer_warm_start_info,dispersion_min_bic,dispersion_median_bic,dispersion_max_bic,dispersion_across_starts,parameter_source
grimms_fairy_tales,Grimm's Fairy Tales,erf,20260415,,,,,,,94.19115163606668,3.7772873911919547,0.6156776276782503,-21051.085809775424,0.10798125265355524,False,False,False,False,False,False,False,69,110,680.4644596576691,72.78515625,21,100 random starts; best objective selected; per-start dispersion summarized.,-21051.085809775424,-18747.872764343945,-17983.32785651367,min=-21051.085809775424;median=-18747.872764343945;max=-17983.32785651367;within1=21,non-logistic a/b/c coefficients not saved in source bundle
grimms_fairy_tales,Grimm's Fairy Tales,algebraic,20260415,,,,,,,263.00112345405887,0.5853900798014107,0.21005902366417067,-21046.017664844752,0.10803892340440861,False,False,False,False,False,False,False,41,44,646.3629865646362,72.79296875,7,100 random starts; best objective selected; per-start dispersion summarized.,-21046.017664844752,-18643.31544680131,-17954.23530601777,min=-21046.017664844752;median=-18643.31544680131;max=-17954.23530601777;within1=7,non-logistic a/b/c coefficients not saved in source bundle
grimms_fairy_tales,Grimm's Fairy Tales,arctan,20260415,,,,,,,254.25852977614286,0.40562303013171275,0.2169274900353751,-21048.746612440034,0.10800786670591098,False,False,False,False,False,False,False,47,35,544.1363592147827,72.79296875,14,100 random starts; best objective selected; per-start dispersion summarized.,-21048.746612440034,-18610.41752059955,-17872.33593911751,min=-21048.746612440034;median=-18610.41752059955;max=-17872.33593911751;within1=14,non-logistic a/b/c coefficients not saved in source bundle
don_quixote,Don Quixote,logistic,20260415,21.813155664961293,2.9999999999999996,65.5758418679199,21.845845424221423,2.2745149960083233,999.9999999455003,374.17998395204523,1.238491694513578,0.5168446852077543,-67569.4065401943,0.11393913449962723,False,False,False,False,False,False,False,34,44,100.19526743888855,75.05078125,40,100 random starts; best objective selected; per-start dispersion summarized.,-67569.4065401943,-59909.920291138915,-57795.897159353575,min=-67569.4065401943;median=-59909.920291138915;max=-57795.897159353575;within1=40,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
don_quixote,Don Quixote,tanh,20260415,,,,,,,374.2093630906587,2.4770137602047235,0.5168029292547975,-67569.40653962821,0.113939134501698,False,False,False,False,False,False,False,54,90,141.5151298046112,75.27734375,48,100 random starts; best objective selected; per-start dispersion summarized.,-67569.40653962821,-66142.37923797149,-51999.890554568185,min=-67569.40653962821;median=-66142.37923797149;max=-51999.890554568185;within1=48,non-logistic a/b/c coefficients not saved in source bundle
don_quixote,Don Quixote,erf,20260415,,,,,,,358.8562758582806,2.6603760597471293,0.5373544564793289,-67949.52577718663,0.11255711138941255,False,False,False,False,False,False,False,3,67,1543.8774938583374,75.32421875,41,100 random starts; best objective selected; per-start dispersion summarized.,-67949.52577718663,-66409.02794904566,-50057.90179766461,min=-67949.52577718663;median=-66409.02794904566;max=-50057.90179766461;within1=41,non-logistic a/b/c coefficients not saved in source bundle
don_quixote,Don Quixote,algebraic,20260415,,,,,,,414.83099004167457,2.7958556251294806,0.4637548069048751,-67088.84588850157,0.11571065212606312,False,False,False,False,False,False,False,22,78,84.97480535507202,74.9765625,42,100 random starts; best objective selected; per-start dispersion summarized.,-67088.84588850157,-59857.820721244876,-51694.202787002854,min=-67088.84588850157;median=-59857.820721244876;max=-51694.202787002854;within1=42,non-logistic a/b/c coefficients not saved in source bundle
don_quixote,Don Quixote,arctan,20260415,,,,,,,472.51414315007156,2.047603954997738,0.4024578435844373,-66530.2376492074,0.11780452664092325,False,False,False,False,False,False,False,28,56,74.37858748435974,74.98046875,16,100 random starts; best objective selected; per-start dispersion summarized.,-66530.2376492074,-59845.87535514759,-56392.81337004669,min=-66530.2376492074;median=-59845.87535514759;max=-56392.81337004669;within1=16,non-logistic a/b/c coefficients not saved in source bundle
pride_and_prejudice,Pride and Prejudice,logistic,20260415,20.45026279577496,2.999999999999857,57.471033871739735,23.393597982505046,2.64107059936287,999.9999988801097,211.37443753298047,1.4217162380992094,0.37236888450608635,-29819.61001044498,0.10843027758050294,False,False,False,False,False,False,False,60,111,535.221750497818,72.31640625,25,100 random starts; best objective selected; per-start dispersion summarized.,-29819.61001044498,-25899.09393768755,-24939.121504086786,min=-29819.61001044498;median=-25899.09393768755;max=-24939.121504086786;within1=25,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
pride_and_prejudice,Pride and Prejudice,tanh,20260415,,,,,,,211.38289789600483,2.8434182013057203,0.3723534746043651,-29819.610011240537,0.1084302775740932,False,False,False,False,False,False,False,39,64,522.6118161678314,72.20703125,28,100 random starts; best objective selected; per-start dispersion summarized.,-29819.610011240537,-25900.239715700634,-24648.02001515516,min=-29819.610011240537;median=-25900.239715700634;max=-24648.02001515516;within1=28,non-logistic a/b/c coefficients not saved in source bundle
