slug,corpus,token_count,vocabulary_size,variant,test_avg_nll,bic,rmse,step2_gain,step2_help,params_json,canonical_source
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,three_regime,6.720979897237765,3512019.3049078183,0.3774507429536337,0.1243205040915909,True,"{""b1"": 2.3526732402147292, ""b2"": 1.08173956849106, ""b3"": 1.2124130861404314, ""c1"": 1671.282096834413, ""c2"": 0.0, ""c3"": 996.9974969240393, ""k1"": 5.002595281822991, ""k2"": 226.11738573705236, ""transition_fraction_2"": 0.5600678713617011, ""w1"": 3.0, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
emile,Emile,252843,11174,nested,6.489510621894114,3260290.7460135086,0.18186782455244951,0.0008384687961817405,True,"{""b1"": 3.017957996115883, ""b2"": 2.6816633072604064, ""b3"": 2.13757948686581, ""c1"": 29.37260988580784, ""c2"": 64.50240756717677, ""c3"": 999.0765875893688, ""k"": 131.72764370409524, ""transition_fraction"": 0.5236086125350067, ""w"": 5.0}",results/zipf_fully_ours_variants/summary.json
emile,Emile,252843,11174,three_regime,6.487886253614171,3261199.3252121443,0.19703230097652447,-0.0003715378332498076,False,"{""b1"": 2.4639384030105465, ""b2"": 0.9834047056987414, ""b3"": 3.1829633604768017, ""c1"": 2021.6207695886433, ""c2"": 1.289366680185319, ""c3"": 960.5880020207314, ""k1"": 5.012215686035379, ""k2"": 200.00005547332788, ""transition_fraction_2"": 0.5684069931637842, ""w1"": 2.996423560263924, ""w2"": 1.992898666786362}",results/zipf_fully_ours_variants/summary.json
ulysses,Ulysses,268854,28990,nested,7.353031479273071,3927908.2504374185,0.18765056836568772,0.0026047298751044334,True,"{""b1"": 1.055489170662548, ""b2"": 0.9692283989579294, ""b3"": 1.8908702071472128, ""c1"": 1.086109291058988, ""c2"": 0.0, ""c3"": 3217.9344726696368, ""k"": 3182.747412322676, ""transition_fraction"": 0.784985954314294, ""w"": 5.0}",results/zipf_fully_ours_variants/summary.json
ulysses,Ulysses,268854,28990,three_regime,7.353292952524696,3927904.7186510474,0.18800497181395423,0.0021709212251762033,True,"{""b1"": 1.2405884748966252, ""b2"": 0.9712696504808536, ""b3"": 1.7183781622128964, ""c1"": 1.1929874762241657, ""c2"": 0.0, ""c3"": 3217.937991390989, ""k1"": 5.0, ""k2"": 3182.7403380177457, ""transition_fraction_2"": 0.7849857379863258, ""w1"": 0.28928856884124915, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
collected_poe,Collected Poe,91801,9312,nested,6.665699194183182,1216065.111782414,0.1828856804235437,-0.00033751049954788837,False,"{""b1"": 1.7545130310246215, ""b2"": 1.46371588985312, ""b3"": 1.163417031348296, ""c1"": 1.5622886659040585, ""c2"": 2.2627275614497138, ""c3"": 8.131250773412766, ""k"": 117.38878712387223, ""transition_fraction"": 0.5214422299040118, ""w"": 2.2057885272980107}",results/zipf_fully_ours_variants/summary.json
collected_poe,Collected Poe,91801,9312,three_regime,6.672160455158952,1216076.3426052448,0.17344745976136466,-0.0008754526227467141,False,"{""b1"": 1.6963573442943314, ""b2"": 4.843169627843025, ""b3"": 1.2183098106651233, ""c1"": 4.131915483558894, ""c2"": 0.5598303377810595, ""c3"": 1.4183048169672874, ""k1"": 5.431770689757533, ""k2"": 200.0019589517399, ""transition_fraction_2"": 0.5797453613899135, ""w1"": 2.9999883895108126, ""w2"": 2.313525837279481}",results/zipf_fully_ours_variants/summary.json
principia_ethica,Principia Ethica,98676,3814,nested,5.91186774105431,1161530.7541251956,0.18802631543495935,-0.0008150733690688305,False,"{""b1"": 0.8511916052807147, ""b2"": 0.9899036577495377, ""b3"": 4.127765827364274, ""c1"": 2.4943915996490578, ""c2"": 0.0, ""c3"": 287.7204140749721, ""k"": 1191.4095986343896, ""transition_fraction"": 0.8589036916357724, ""w"": 0.647813942077554}",results/zipf_fully_ours_variants/summary.json
principia_ethica,Principia Ethica,98676,3814,three_regime,5.911341112777018,1161615.863379087,0.16570323829143646,-0.00012671383752640986,False,"{""b1"": 1.4728750967831996, ""b2"": 2.144376224816619, ""b3"": 3.805183434256267, ""c1"": 327.8626828624968, ""c2"": 3.0501259779155157, ""c3"": 1598.823814421575, ""k1"": 96.54971201088178, ""k2"": 323.02144292230946, ""transition_fraction_2"": 0.700632401544535, ""w1"": 1.5409727182294968, ""w2"": 1.5624587296690187}",results/zipf_fully_ours_variants/summary.json
critique_of_pure_reason,Critique of Pure Reason,209795,6537,nested,5.952059874824002,2473831.82785946,0.18258556022890382,-0.00030620101585129844,False,"{""b1"": 0.9065884896668381, ""b2"": 0.930515429185054, ""b3"": 5.0, ""c1"": 0.4749859969332683, ""c2"": 0.013741504254969766, ""c3"": 2895.413752662395, ""k"": 850.0257710545367, ""transition_fraction"": 0.767795935418574, ""w"": 0.8850640279049938}",results/zipf_fully_ours_variants/summary.json
critique_of_pure_reason,Critique of Pure Reason,209795,6537,three_regime,5.953013891458755,2474022.018257191,0.2081320818304199,0.003256465549492854,True,"{""b1"": 5.0, ""b2"": 5.0, ""b3"": 2.3042779989291016, ""c1"": 1266.0720479834627, ""c2"": 2213.4323660846812, ""c3"": 0.31484554881528737, ""k1"": 200.0, ""k2"": 1441.291632932706, ""transition_fraction_2"": 0.8279000046510608, ""w1"": 3.0, ""w2"": 0.7686256880081112}",results/zipf_fully_ours_variants/summary.json
