slug,corpus,token_count,vocabulary_size,selected_lambda,k,w,top100_hybrid,top100_moe,top100_softk,full_zipf,full_zm,full_moe,full_softk,full_hybrid,hybrid_minus_moe,hybrid_minus_zm,hybrid_minus_softk,hybrid_minus_zipf,canonical_hybrid_vs_softk_winner,full_step2_help,full_step2_gain,full_step2_expression,canonical_source
aesops_fables,Aesop's Fables,41594,4394,0.0001,79.32932724327326,2.479644218564791,4.459032368797521,4.456116010054979,4.456033976757518,6.226453453821152,6.221750903154405,6.22365870317628,6.22074737680541,6.224764153975742,0.0011054507994616714,0.003013250821337188,0.004016777170331665,-0.0016892998454096642,softk,False,-0.001583369099316695,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,0.01,107.1394080489091,1.0211295761195998,4.6351057802144275,4.654490528149713,4.629554399589969,6.493105179966957,6.447377412310836,6.456988589888799,6.453747597117771,6.45021444511238,-0.006774144776419355,0.002837032801544126,-0.0035331520053913934,-0.04289073485457706,hybrid,False,-0.0009967345139468842,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
jane_eyre,Jane Eyre,189604,12541,0.001,82.70726951886354,1.3832733990790604,4.6424024039578144,4.669424099716036,4.638581328098644,6.685153958211458,6.639198902037371,6.649150527735459,6.642788574812209,6.640389852546312,-0.008760675189146916,0.0011909505089402472,-0.002398722265897213,-0.04476410566514666,hybrid,False,-0.001040846646461313,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
dubliners,Dubliners,69264,7157,0.0001,102.30421442745855,0.4271955929270699,4.617019498102853,4.625485768788617,4.614098915499791,6.541972737895993,6.5140093492139535,6.521278476962053,6.517051665375395,6.518753805900212,-0.002524671061840955,0.004744456686258225,0.0017021405248165422,-0.023218931995780956,softk,True,0.0021311952534462664,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
the_iliad,The Iliad,194969,12300,0.01,137.12031195836929,1.3625376191322403,4.613918033533492,4.562007881982552,4.610615437205321,6.895521366908629,6.890807298983179,6.883404881675385,6.879693438081945,6.879237846843119,-0.00416703483226577,-0.011569452140060221,-0.00045559123882554786,-0.01628352006551026,hybrid,True,0.000262420340769981,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
democracy_in_america,Democracy in America,187753,9301,0.03,117.78244278636056,1.8809437504158595,4.319352837192868,4.291246323009308,4.325092625120179,6.3184319916345855,6.314583858753442,6.311806433399232,6.311611212604429,6.311102048600023,-0.0007043847992092012,-0.003481810153419751,-0.0005091640044065926,-0.0073299430345628025,hybrid,False,-0.0004935939836157588,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
origin_of_species,Origin of Species,156024,6887,0.03,102.0826946619062,1.6527464662212683,4.581365525004404,4.553332597779077,4.5843649377945646,6.406563746147002,6.383434243183849,6.374942420183649,6.375321709061686,6.374192218717613,-0.0007502014660358824,-0.009242024466236565,-0.0011294903440735027,-0.032371527429389424,hybrid,False,-0.0006847980054114633,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
wealth_of_nations,Wealth of Nations,380080,9478,0.0001,57.48681003893941,0.8592411210024319,4.418185903611634,4.3883940173803495,4.428306871769982,6.195766995601775,6.175560092867926,6.161544629142846,6.155611767747408,6.154172801848215,-0.007371827294631039,-0.021387291019710375,-0.001438965899192901,-0.04159419375355977,hybrid,False,-0.0010694749723125507,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
les_miserables,Les Miserables,575614,22677,0.0003,44.28003762525759,1.9497370999129637,4.5688188733125035,4.570927291317201,4.566397708240042,6.8275718271667,6.802444035183806,6.800381977779332,6.801859574689947,6.800545450851442,0.00016347307211006523,-0.001898584332363562,-0.0013141238385045995,-0.027026376315258283,hybrid,False,-0.0007070062437777858,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,0.03,155.824096193284,1.7521795387746792,4.253579210798779,4.207124908003498,4.245989250825304,6.721170793180686,6.7211701084082005,6.721115289041511,6.717869269968219,6.716130962295418,-0.0049843267460927265,-0.005039146112782333,-0.0017383076728005875,-0.0050398308852681595,hybrid,True,0.0012034190640928533,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
emile,Emile,252843,11174,0.0001,129.07567030771418,2.5990385939294307,4.696424363203318,4.703626031731037,4.686633683866927,6.550809484270299,6.487121711325544,6.489192155925541,6.489722409140335,6.4874511909906785,-0.0017409649348625322,0.00032947966513408034,-0.0022712181496569173,-0.06335829327962017,hybrid,False,-0.0002840586043198756,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
ulysses,Ulysses,268854,28990,0.001,212.18577848607592,0.9847696946724198,4.73599364214098,4.763646609696205,4.732321679565584,7.366644172022561,7.351230348257138,7.360040275685457,7.353701494174882,7.354968757950881,-0.0050715177345761475,0.003738409693743172,0.0012672637759987282,-0.01167541407167949,softk,True,0.002936166820564995,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
collected_poe,Collected Poe,91801,9312,0.01,117.37906397612282,2.281675162696095,4.506008497728883,4.505934752337151,4.512733457779536,6.6683107797436625,6.664039209234085,6.666311949576639,6.671484550103681,6.6665368211656375,0.000224871588998532,0.0024976119315525125,-0.004947728938043738,-0.0017739585780249811,hybrid,False,-0.0010292932221934725,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
principia_ethica,Principia Ethica,98676,3814,0.003,73.25192658891596,0.6953917425448445,4.511806376096271,4.491174500901497,4.515502094982316,5.978310064484517,5.917476589984626,5.913923711681961,5.91068217315341,5.908936527697397,-0.004987183984564325,-0.008540062287229588,-0.0017456454560136336,-0.06937353678712022,hybrid,True,0.0006198575931893047,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
critique_of_pure_reason,Critique of Pure Reason,209795,6537,0.03,97.98990621237157,1.2889558426374523,4.406234061400206,4.377708135854066,4.406737516984039,6.00665335524234,5.967962608254694,5.9564279569814556,5.952965161503562,5.952708387338326,-0.0037195696431293612,-0.015254220916367522,-0.00025677416523617325,-0.053944967904013374,hybrid,True,0.001099316756863311,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
