corpus,V,k,rmse,bic,w_gate,w_tail,s
Grimm's Fairy Tales,4746,141.4213562373095,0.1081376953095376,-21037.34380368157,3.5376584722735336,0.4052048529925501,57.30461986414606
Grimm's Fairy Tales,4746,195.92769603435266,0.1086650180118869,-20991.169501852128,3.392576598800128,0.28792833016893615,56.41313435301806
Grimm's Fairy Tales,4746,102.07847284895003,0.10798582255695569,-21050.684104811447,3.7656235744669573,0.5669185653840267,57.87018138411908
King James Bible,12555,1000.0,0.13976751104606733,-49325.886171026934,1.5757147208762128,1.6004707561602673,1600.4707561602675
Grimm's Fairy Tales,4746,376.0603093086394,0.14280452122896817,-18397.89065347103,1.7294177946647173,1.4220704821301764,534.7842653685601
Don Quixote,15574,20.0,0.12112138785068126,-65665.3651146899,4.753631093169185,9.999999999999998,199.99999999999997
Federalist Papers,8617,521.0007309586913,0.1429918309848156,-33438.02122686802,1.6678923343061707,2.0948514261624513,1091.419124280494
Grimm's Fairy Tales,4746,1000.0,0.13380361133408442,-19015.853766516375,6.0032009198371075,0.05000000000000001,50.00000000000001
Federalist Papers,8617,721.8038036465944,0.14207759593956723,-33548.56258486608,1.4135299226719793,1.48286781889089,1070.3396319805736
War and Peace,17445,399.33160818921266,0.11595083424017864,-75085.70964935004,2.7103943877586034,0.568926391213816,227.1902907446983
Don Quixote,15574,27.70836049762948,0.11997809631071,-65960.77438890137,4.387405930262628,7.252362670229993,200.9510793262834
Don Quixote,15574,38.38766207332969,0.11881774613463575,-66263.48377763439,4.0025573879615495,5.222531734018651,200.48078337274853
Don Quixote,15574,53.18295896944989,0.11760059228754373,-66584.20545464059,3.6648664731458265,3.758784563101179,199.90328519441164
Grimm's Fairy Tales,4746,271.4417616594907,0.14353805643124218,-18349.258477090505,1.9545171226960496,1.9971828918434194,542.1188425181738
Don Quixote,15574,73.68062997280774,0.11638291191172562,-66908.40481121461,3.405573936297913,2.703533484111197,199.1980502618928
Don Quixote,15574,271.4417616594907,0.11275432744482389,-67894.99781096759,2.7910830461138336,0.7164267155744273,194.46812977544542
Don Quixote,15574,141.4213562373095,0.11419910217420294,-67498.419083198,3.0652761522111787,1.3950870785486587,197.29510671749725
Don Quixote,15574,102.07847284895003,0.11522985812469233,-67218.53983587297,3.2155744491975065,1.9430015794622635,198.33863397460567
Don Quixote,15574,195.92769603435266,0.11334792370880394,-67731.44898458371,2.9292774961324053,1.0004986993675433,196.0254050524492
Grimm's Fairy Tales,4746,721.8038036465944,0.14006645701775974,-18581.652999047998,1.2141589403545587,0.6718097909752361,484.9148624529489
Don Quixote,15574,358.8562758582806,0.11255711139789502,-67949.52577483926,2.6604673141081374,0.5373552758740209,192.8333131129501
Don Quixote,15574,376.0603093086394,0.11256387015153532,-67947.65547685992,2.6368204373628323,0.5119552762613144,192.5260595430198
Don Quixote,15574,721.8038036465944,0.11502437255636286,-67274.13461180884,2.240100127830214,0.2589004911325627,186.87535926545513
Pride and Prejudice,6729,20.0,0.11177546742149218,-29410.69217359864,5.58131944876869,4.097579754048269,81.95159508096538
Pride and Prejudice,6729,27.70836049762948,0.11114313867417239,-29487.042041873698,4.8873728288870355,2.954604357348846,81.8672426612887
Pride and Prejudice,6729,38.38766207332969,0.11040578834915143,-29576.62313302618,4.04023560858017,2.1277831824454654,81.68062177303055
Pride and Prejudice,6729,73.68062997280774,0.10888146156147167,-29763.72676396559,3.063696643911814,1.0986918886884345,80.95231050457781
Pride and Prejudice,6729,102.07847284895003,0.10844733041749326,-29817.49363630376,3.0900479507271137,0.7883757843764967,80.4761961002459
Pride and Prejudice,6729,53.18295896944989,0.10956132649175186,-29679.955156248692,3.1964127046299757,1.5297043173202352,81.35420194343243
Pride and Prejudice,6729,141.4213562373095,0.10819588431049408,-29848.733601347263,3.0931648141384724,0.5648408881058242,79.88056445421205
Pride and Prejudice,6729,188.7356305528288,0.10811561016632747,-29858.722247437487,3.0554869250912704,0.4196179226758411,79.19685322749302
Don Quixote,15574,521.0007309586913,0.11309895052529444,-67799.94204611145,2.4544976320066314,0.36479337475522017,190.0576148963575
Pride and Prejudice,6729,195.92769603435266,0.10811726945575541,-29858.515704222034,3.047366730309402,0.40369130353032523,79.09430700980116
Pride and Prejudice,6729,721.8038036465944,0.14663011435672485,-25757.907238986114,1.483042937463899,0.8554574675621412,617.4724539442367
Pride and Prejudice,6729,1000.0,0.1446669624720401,-25939.30623105453,1.1661830712059809,0.6241616372277297,624.1616372277297
Canterbury Tales,17653,20.0,0.1142801509467495,-76494.32070630121,4.910364153709243,9.999999999999998,199.99999999999997
Canterbury Tales,17653,27.70836049762948,0.11352254856256852,-76729.15557390387,4.57551281784611,7.297845823769528,202.21134294112588
Canterbury Tales,17653,38.38766207332969,0.11293058147032305,-76913.74156538172,4.112739270286252,5.257707764857395,201.83110895766725
Canterbury Tales,17653,53.18295896944989,0.11234236392005317,-77098.11928541357,3.7340569348712362,3.785862693274613,201.3433802803948
Federalist Papers,8617,1000.0,0.12579331877798686,-35646.511272271244,1.4598022466536982,0.09785665927374634,97.85665927374635
Grimm's Fairy Tales,4746,521.0007309586913,0.14172007329387692,-18470.247348418543,1.4528274809171748,0.9971350951094017,519.5081134165624
Canterbury Tales,17653,73.68062997280774,0.11182530822558036,-77260.9902341833,3.5032929984881718,2.725430929324326,200.81146781999118
Canterbury Tales,17653,102.07847284895003,0.11142867018507764,-77386.4412339049,3.3785963067162443,1.9616904787239966,200.24636827047127
Canterbury Tales,17653,141.4213562373095,0.11116994124127716,-77468.51441616642,3.2859201751317504,1.4114417611093266,199.60800810605758
Canterbury Tales,17653,204.06973809343242,0.11106163658332281,-77502.92720838884,3.1733450235673764,0.9737524778310043,198.7134131188039
Canterbury Tales,17653,195.92769603435266,0.11106307592610891,-77502.46965068772,3.187474744134455,1.0147979782435375,198.82702981757544
Canterbury Tales,17653,271.4417616594907,0.11114048342542113,-77477.8710412933,3.062134754204193,0.7286713823776333,197.79184370344115
Pride and Prejudice,6729,271.4417616594907,0.10833760563739922,-29831.117057224772,2.9449331034946766,0.28746848899589833,78.03095307463856
Canterbury Tales,17653,1000.0,0.11798541587202797,-75367.77246939077,2.1298432566734307,0.1867353801630586,186.7353801630586
Arabian Nights (Vol 1),13883,20.0,0.10747310868381721,-61846.623002678054,4.91468665970286,7.168959000094243,143.37918000188486
Arabian Nights (Vol 1),13883,27.70836049762948,0.10704571751872642,-61957.26092664399,4.407538442120072,5.1693183996712335,143.23333774511966
Arabian Nights (Vol 1),13883,53.18295896944989,0.10624742975399501,-62165.10034252939,3.593002090698367,2.681306804091702,142.5998297465158
Arabian Nights (Vol 1),13883,38.38766207332969,0.10661801787427541,-62068.421804437545,3.9336989913938125,3.7238679330439184,142.95058381939867
Arabian Nights (Vol 1),13883,73.68062997280774,0.10600890107177836,-62227.50592687792,3.416235960263123,1.9307489694567972,142.25880038892615
Arabian Nights (Vol 1),13883,98.18320419389575,0.1059390525867789,-62245.80676980873,3.3231744400529957,1.4457810785428535,141.95141885424383
Arabian Nights (Vol 1),13883,141.4213562373095,0.10605873768696211,-62214.45571807884,3.225172490724696,1.0003597246753841,141.47222898877436
Arabian Nights (Vol 1),13883,195.92769603435266,0.10627230696402735,-62158.59985812658,3.2765019820089574,0.7176596880340678,140.60940921324718
